personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,"acc jakob (policy network, base events+plans)",acc base default,acc policy default,,,,"jakob(policy network, base events+plans)",base default,policy default
berlin_5d10ace6,43,f,high,3600,always,FALSE,793254.1767607611,5824954.675950838,-7.545335222,-1.950389384,-7.565230123,,,,,,
bb_02ba5dd2,63,f,very_low,500,always,FALSE,770606.21,5829029.69,-23.79351273,-23.79350406,-22.98938616,,,,,,
berlin_b57edf34,5,m,medium,2600,never,FALSE,802389.7779841484,5818935.970389724,-9.794199354,-6.243407079,-10.32902811,,,,,,
bb_900984d3,8,m,medium,3000,never,FALSE,813025.29,5851072.55,-16.7725536,-15.77169645,-17.28240263,,,,,,
bb_8e7d1633,33,m,medium,3000,always,FALSE,813835.09,5830486.27,-11.56634403,-9.371415031,-11.89125794,,,,,,
berlin_ed5c4843,60,f,high,4600,always,FALSE,796246.2209002166,5832291.9673312185,-4.660482795,-3.014701234,-5.047688892,,,,,,
bb_66f3bef9,53,m,medium,2600,always,FALSE,774292.41,5814446.48,-11.53844302,-11.48850801,-11.48486359,,,,,,
berlin_07d153fb,15,m,high,4600,never,FALSE,798871.3841,5834894.961777553,-5.366739391,-4.193692762,-5.373413701,,,,,,
berlin_1b5d366d,27,f,medium,2000,always,FALSE,795248.7451,5830069.923652319,-4.208144794,-2.540256076,-4.120954906,,,,,,
berlin_aedd7f0e,71,m,high,4600,always,TRUE,806143.7141228273,5826166.384050225,-7.643736605,-4.810235551,-8.793926839,,,,,,
bb_1b9fafde,35,f,medium,2600,always,FALSE,793856.65,5840087.05,-10.26976664,-9.234563949,-10.52765814,,,,,,
berlin_c4b63ccd,30,f,high,4600,always,FALSE,804252.9576,5830384.288655146,-5.446421148,-3.451738052,-5.684332892,,,,,,
bb_c040033f,6,m,medium,3600,never,FALSE,782014.42,5846675.8,-11.26052219,-10.974983,-10.69479393,,,,,,
berlin_f2375280,2,m,high,5600,never,FALSE,792976.3114873802,5827312.729215478,-12.12813309,-2.07994043,-12.94621774,,,,,,
berlin_506d2610,48,f,low,900,always,FALSE,801202.5086491563,5822571.776628606,-13.30437236,-5.313076713,-14.87859162,,,,,,
berlin_fddc9827,86,m,high,3600,always,FALSE,812788.2310342169,5830637.020447328,-10.44930236,-8.331206018,-10.91423544,,,,,,
bb_c6262602,33,m,high,3000,always,FALSE,799146.67,5807889.96,-13.76330114,-12.16818365,-14.47467511,,,,,,
berlin_46b69a4b,29,f,low,2000,always,FALSE,800346.8478863855,5813384.729384401,-12.93818219,-9.887193325,-14.41332804,,,,,,
berlin_1118b1ab,48,f,very_low,2000,always,FALSE,795951.6606358982,5832311.478518593,-5.624073361,-4.079294656,-5.964565301,,,,,,
bb_617759cb,53,f,very_low,500,always,TRUE,815030.1,5806972.1,-48.9416444,-41.88497373,-48.70211699,,,,,,
