personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_17043e3e,14,m,medium,4600.0,never,false,804487.7687839445,5834140.875606639,0.009019591740996428,1.0,
berlin_a034ce8b,87,m,medium,2000.0,always,false,792461.7805187451,5822187.107241281,0.0519297445174705,1.0,
berlin_53262944,45,f,low,3600.0,always,false,785043.5598589705,5816179.0170540465,0.001409853450305373,1.0,
berlin_8383b76f,19,f,medium,2000.0,always,false,804814.994621062,5827770.254168905,0.010703516369780496,1.0,
berlin_13fb81de,31,m,medium,3000.0,always,false,805966.4623946896,5828765.890792035,0.002955748627239602,1.0,
berlin_535d0267,93,m,medium,2000.0,always,false,802805.4929988359,5836375.4913061755,9.068346092106527E-4,1.0,
bb_99d274c4,41,m,high,5600.0,always,false,791825.76,5841081.53,4.194696587327297E-4,1.0,
berlin_d2fa2b76,98,m,medium,2000.0,always,true,814623.515903063,5820933.775002307,4.325203015313793E-6,1.0,
bb_b338ac97,7,f,low,2000.0,never,false,767346.97,5811600.6,1.0726525057278666E-8,1.0,
berlin_86b151bb,19,f,very_high,5600.0,always,false,800758.1943922004,5825470.523022681,0.45896425528711604,1.0,
berlin_3fbd3a48,65,m,very_low,499.0,always,false,792439.2935677823,5828271.963811032,0.0018070584793082737,1.0,
berlin_857f46f3,53,m,high,2600.0,always,false,805759.2868175213,5826774.665772017,0.004457101251587234,1.0,
bb_31c0a549,68,f,medium,2000.0,always,false,779733.77,5813675.55,3.0015572996062706E-6,1.0,
berlin_968a1c7d,85,m,medium,2000.0,always,true,803783.2947392159,5827439.525490209,0.020350779288522015,1.0,
bb_6992e0aa,56,m,low,1500.0,always,false,813605.13,5810165.65,2.7911260249647597E-8,1.0,
berlin_71aff0a7,64,m,medium,2600.0,always,false,794575.9789021765,5830797.590334362,0.045834714411064674,1.0,
berlin_ccd49ca3,63,m,medium,2600.0,always,false,811788.0519445711,5830828.4773920765,1.4183086143786677E-4,1.0,
berlin_97d439fb,8,m,high,5600.0,never,false,800087.8063685114,5838000.567305325,0.006841273932649867,1.0,
berlin_cddcab34,15,m,medium,3600.0,never,false,799919.3689375364,5838318.742766032,0.003562671617428547,1.0,
berlin_4b07b33b,76,m,medium,2000.0,always,true,797779.0985906916,5821204.973111493,0.014742852787468633,1.0,
berlin_c3ed6449,45,f,high,3600.0,always,false,801151.4922585968,5825283.910300828,0.26957147835745937,1.0,
berlin_90a9b9e0,5,m,very_low,900.0,never,true,781762.3419388132,5815002.255099014,8.677794054054698E-8,1.0,
berlin_45a5230c,71,m,very_high,5600.0,always,true,796206.6553568356,5819489.538476803,0.015656638306229896,1.0,
berlin_58dbc5e6,56,f,medium,3000.0,always,false,784978.7700588151,5829151.737274751,0.31178055991909637,1.0,
berlin_ef7d484e,62,f,medium,1500.0,always,false,800633.626855843,5824128.682173865,0.07659890379070718,1.0,
berlin_b879563d,40,m,medium,3000.0,always,false,794983.3974704649,5828820.1525723515,0.12978942130447796,1.0,
bb_ecf6d7f3,56,f,low,1500.0,always,true,790288.74,5814130.13,4.476539239386033E-5,1.0,
bb_85973509,59,m,high,4600.0,always,false,771559.59,5813656.82,3.7465917123049E-5,1.0,
berlin_329bf6aa,60,f,very_low,900.0,always,false,810108.9571054372,5834002.626641281,7.382416104464623E-7,1.0,
berlin_0aace236,56,f,low,1500.0,always,true,808329.584914719,5831617.578952604,2.1496784291023813E-4,1.0,
berlin_ded6f330,59,f,high,2600.0,always,false,798501.4798979018,5813360.93622497,1.2619409428487032E-4,1.0,
berlin_0ae4e0ef,21,f,low,2000.0,always,false,805937.0466334613,5826171.725183484,0.0023702439296415644,1.0,
berlin_5161e8d4,82,m,low,900.0,always,true,793519.0026769519,5833775.694753861,2.134340345391369E-4,1.0,
berlin_405c13fd,25,f,medium,1500.0,always,false,790965.197447481,5834705.328373085,3.114566088585323E-4,1.0,
bb_32ed3071,45,m,high,4600.0,always,false,788866.16,5843970.92,1.2444994322415514E-4,1.0,
berlin_6aacf169,70,m,very_low,900.0,always,true,784742.8501319413,5832245.405677204,0.0042450281499435,1.0,
bb_d0c5b374,19,f,high,5600.0,always,false,802516.8,5814496.64,5.10982114590996E-4,1.0,
berlin_eb92a59f,55,m,high,4600.0,always,false,808802.661165229,5826283.020662034,0.001524241424034791,1.0,
berlin_70f75b07,64,f,medium,1500.0,always,false,798851.6842885528,5817784.214623094,2.733084735893659E-4,1.0,
berlin_e7941666,48,f,medium,2600.0,always,true,800332.7945388225,5823399.444089831,0.07358050250830893,1.0,
berlin_ff93cf7b,94,m,low,900.0,always,false,793699.031797918,5816497.02851334,6.192212848023558E-6,1.0,
berlin_e82fd077,51,m,high,4600.0,always,false,796853.1650492656,5832703.400903071,0.024570266410819705,1.0,
bb_8c6590d2,56,m,very_high,5600.0,always,false,779020.07,5821142.02,0.00584703354170988,1.0,
berlin_412c9ccc,76,m,low,1500.0,always,true,789567.5325792119,5835282.897424455,1.2868108770403003E-4,1.0,
bb_571b40dc,86,m,medium,2000.0,always,false,775380.55,5813873.74,1.2916335250884523E-6,1.0,
berlin_79132a36,68,m,low,900.0,always,false,811005.656673375,5826071.352333844,5.311972720868283E-7,1.0,
berlin_67e7610c,66,m,low,900.0,always,true,797813.40790076,5822073.738685877,0.0046092299776359005,1.0,
berlin_0ff41cd6,10,m,high,3600.0,never,false,802021.165687438,5831049.647717297,0.09378719994433597,1.0,
bb_8f79c6ed,29,m,high,3600.0,always,false,797246.97,5913499.43,3.8577040900774766E-19,1.0,
berlin_e3ae9561,29,f,medium,2600.0,always,false,794701.397645114,5815626.884274157,5.338666025347979E-4,1.0,
berlin_647544e3,59,f,medium,2000.0,always,false,810854.5236786446,5820381.983033099,2.6363706234088112E-5,1.0,
berlin_f6d7c865,80,m,very_low,900.0,always,true,798139.8600038523,5829088.74170479,0.021544132239385488,1.0,
berlin_9c7c2c35,41,f,medium,3000.0,always,false,792593.0947752252,5828234.323339392,0.08823383350923288,1.0,
berlin_dfb5ab2b,48,f,medium,3000.0,always,false,786394.6147150511,5838144.245796689,3.198454651113671E-4,1.0,
berlin_143d0ddc,31,f,medium,3600.0,always,false,800145.3767411816,5827986.319221878,0.20933821637223754,1.0,
berlin_1047eb0e,60,f,high,2600.0,always,false,803334.8797658572,5831636.077057219,0.027188519370561347,1.0,
bb_bf2b123b,42,f,high,3000.0,always,true,802199.0,5846484.9,4.123098801410657E-5,1.0,
berlin_71f59563,51,f,very_high,5600.0,always,false,793232.782175319,5825807.818379318,0.17024216063682257,1.0,
berlin_a1a881e7,95,m,very_high,5600.0,always,false,796681.8428735347,5817860.143432176,0.007459052116396483,1.0,
bb_d6ff6222,41,m,high,3000.0,always,true,791804.47,5813051.76,1.4648393526180045E-4,1.0,
berlin_93e62759,52,f,medium,1500.0,always,false,796907.5869053549,5836611.621821932,3.179453046803324E-4,1.0,
bb_44d2adc9,17,m,low,2000.0,never,false,796648.36,5843045.48,7.749189579120948E-6,1.0,
berlin_c237d306,66,m,high,3600.0,always,false,793845.2710665674,5822168.599188589,0.04753901494930343,1.0,
bb_dd00a0d1,43,f,very_high,5600.0,always,false,793704.44,5799630.08,3.236345018456807E-4,1.0,
berlin_e5e6a205,83,m,medium,4600.0,always,false,803881.301421453,5817731.043190963,8.147106138219425E-4,1.0,
berlin_ad1cc4e2,60,f,medium,2000.0,always,false,793958.4399355336,5825273.411367378,0.07656763624688492,1.0,
berlin_1f994034,57,f,high,3600.0,always,false,803209.4305578662,5817746.465491492,9.220000435689032E-4,1.0,
berlin_2a8baf39,57,m,very_high,4600.0,always,false,799794.4365813951,5830435.924104132,0.28927680630751923,1.0,
berlin_c6eca9eb,57,m,high,3600.0,always,false,794811.3898231664,5833736.337802658,0.01423986875217516,1.0,
berlin_ec0604fa,36,m,medium,2000.0,always,false,791148.1612413265,5825746.142740865,0.22485093502457945,1.0,
bb_95335fc0,46,m,low,2000.0,always,false,787340.13,5815002.88,1.4417450293618852E-4,1.0,
berlin_8e4f9d34,28,f,medium,3000.0,always,false,795270.9819958077,5830256.79600412,0.08866375320131382,1.0,
berlin_21939f21,27,f,medium,1500.0,always,false,805595.4286485594,5834739.8447426595,4.562095712250411E-4,1.0,
berlin_bcd5d148,44,f,medium,1500.0,always,false,795321.2467649723,5833775.746148959,0.0032201547809942092,1.0,
berlin_07967e19,38,f,medium,3600.0,always,false,795556.2187214483,5830681.7291880455,0.08021384894816337,1.0,
bb_b8de9f2c,70,f,medium,2000.0,always,false,807827.46,5840779.89,6.4588007915064045E-6,1.0,
berlin_25298093,98,m,medium,2000.0,always,false,799629.3428122926,5825488.587095876,0.35278284561919065,1.0,
bb_03970d75,60,m,very_low,499.0,always,true,784172.79,5839951.18,3.9200107389407195E-10,1.0,
berlin_af7fb11e,60,f,very_low,500.0,always,false,798213.6823124106,5824746.046266902,0.02213929449862433,1.0,
berlin_ceab73fa,75,m,high,4600.0,always,false,814346.2260893807,5820776.4250702,9.190265057049638E-5,1.0,
berlin_c31d7524,31,f,medium,1500.0,always,false,809880.5257459122,5834103.668425969,3.5717056754805625E-5,1.0,
bb_c4d10b00,23,f,high,4600.0,always,false,801805.87,5816191.05,9.759889240683003E-4,1.0,
berlin_3d918860,81,m,medium,2600.0,always,false,791661.4373502673,5822330.460095373,0.04914944739847403,1.0,
bb_a4bc4455,41,f,very_low,500.0,always,false,775355.01,5833040.07,1.0430360504196218E-8,1.0,
berlin_cf03ed42,66,m,high,4600.0,always,false,784889.448671746,5827500.138457813,0.2422546228936079,1.0,
bb_5a5b780e,39,m,high,3600.0,always,false,788238.38,5852820.04,5.6143154812882965E-6,1.0,
bb_4a0478fb,12,f,high,4600.0,never,false,814947.5,5810105.96,1.1677535776715457E-5,1.0,
berlin_dbc2c9a5,4,m,high,3600.0,never,false,812420.7696330799,5831011.436551412,3.690829000030292E-4,1.0,
berlin_a867a02f,6,m,medium,3600.0,never,false,803956.438596993,5823913.934354597,0.021118060380084878,1.0,
berlin_11ea93d6,33,f,medium,1500.0,always,false,791638.814292964,5819073.228310321,0.00251823943296526,1.0,
berlin_6436915e,47,m,medium,3000.0,always,false,799085.2570237706,5824730.11633438,0.25291080029438234,1.0,
berlin_687d3c16,39,f,high,4600.0,always,false,799241.1432526498,5830442.691943079,0.2375702498204416,1.0,
