id,xcoord,ycoord,time,car_accessibility
12489,735517.63,5703686.9,28800.0,-235.61187214019577
12712,736517.63,5703686.9,28800.0,-231.91304141015752
12935,737517.63,5703686.9,28800.0,-228.22639693198963
13158,738517.63,5703686.9,28800.0,-224.5526609955523
13381,739517.63,5703686.9,28800.0,-220.8926112762928
13604,740517.63,5703686.9,28800.0,-217.24708593151954
13827,741517.63,5703686.9,28800.0,-213.61698922678193
14050,742517.63,5703686.9,28800.0,-210.00329775072169
14273,743517.63,5703686.9,28800.0,-206.40706728281853
14496,744517.63,5703686.9,28800.0,-202.82944038488185
14719,745517.63,5703686.9,28800.0,-199.27165479385843
14942,746517.63,5703686.9,28800.0,-195.73505270038407
15165,747517.63,5703686.9,28800.0,-192.22109100429185
15388,748517.63,5703686.9,28800.0,-188.73135264467197
15611,749517.63,5703686.9,28800.0,-185.26755910759556
15834,750517.63,5703686.9,28800.0,-181.8315842186155
16057,751517.63,5703686.9,28800.0,-178.4254693287396
16280,752517.63,5703686.9,28800.0,-175.05144000051808
16503,753517.63,5703686.9,28800.0,-171.71192429356128
16726,754517.63,5703686.9,28800.0,-168.409572734045
16949,755517.63,5703686.9,28800.0,-165.14728002775718
17172,756517.63,5703686.9,28800.0,-161.92820853737197
17395,757517.63,5703686.9,28800.0,-158.7558134873472
17618,758517.63,5703686.9,28800.0,-155.63386977847756
17841,759517.63,5703686.9,28800.0,-152.56650018188878
18064,760517.63,5703686.9,28800.0,-149.55820453116792
18287,761517.63,5703686.9,28800.0,-146.61388933251405
18510,762517.63,5703686.9,28800.0,-143.73889695701232
18733,763517.63,5703686.9,28800.0,-140.93903325781932
18956,764517.63,5703686.9,28800.0,-138.22059206212418
19179,765517.63,5703686.9,28800.0,-135.59037452242853
19402,766517.63,5703686.9,28800.0,-133.05570078251907
19625,767517.63,5703686.9,28800.0,-136.32571249790047
19848,768517.63,5703686.9,28800.0,-132.38725872669448
20071,769517.63,5703686.9,28800.0,-128.45466208888644
20294,770517.63,5703686.9,28800.0,-124.52879185691168
20517,771517.63,5703686.9,28800.0,-120.61069627417925
20740,772517.63,5703686.9,28800.0,-116.70165050139752
20963,773517.63,5703686.9,28800.0,-112.80322060992583
21186,774517.63,5703686.9,28800.0,-108.91735014194485
21409,775517.63,5703686.9,28800.0,-105.04647890217703
21632,776517.63,5703686.9,28800.0,-101.19370855750016
21855,777517.63,5703686.9,28800.0,-97.36303743255151
22078,778517.63,5703686.9,28800.0,-93.55969954549664
22301,779517.63,5703686.9,28800.0,-89.79066380520668
22524,780517.63,5703686.9,28800.0,-86.06538428901162
22747,781517.63,5703686.9,28800.0,-82.24912815638403
22970,782517.63,5703686.9,28800.0,-78.29060490589
23193,783517.63,5703686.9,28800.0,-74.34339258909849
23416,784517.63,5703686.9,28800.0,-70.41279449956536
23639,785517.63,5703686.9,28800.0,-66.50798714299395
23862,786517.63,5703686.9,28800.0,-62.64625104807031
24085,787517.63,5703686.9,28800.0,-58.86403098535928
24308,788517.63,5703686.9,28800.0,-55.25108381718814
24531,789517.63,5703686.9,28800.0,-52.07768262576418
