id,xcoord,ycoord,time,car_accessibility_base,car_accessibility_policy,delta
5576,704517.63,5703686.9,28800,-310.2562125,-310.3084081,-0.052195524
5799,705517.63,5703686.9,28800,-308.3223634,-308.3745589,-0.052195524
6022,706517.63,5703686.9,28800,-306.4338382,-306.4860337,-0.052195524
6245,707517.63,5703686.9,28800,-304.5915926,-304.6437881,-0.052195524
6468,708517.63,5703686.9,28800,-302.7965849,-302.8487805,-0.052195524
6691,709517.63,5703686.9,28800,-301.0497747,-301.1019702,-0.052195524
6914,710517.63,5703686.9,28800,-299.3521206,-299.4043162,-0.052195524
7137,711517.63,5703686.9,28800,-297.704579,-297.7567745,-0.052195524
7360,712517.63,5703686.9,28800,-296.1081017,-296.1602972,-0.052195524
7583,713517.63,5703686.9,28800,-294.5636342,-294.6158298,-0.052195524
7806,714517.63,5703686.9,28800,-293.0721138,-293.1243093,-0.052195524
8029,715517.63,5703686.9,28800,-291.6344667,-291.6866622,-0.052195524
8252,716517.63,5703686.9,28800,-290.2516066,-290.3038021,-0.052195524
8475,717517.63,5703686.9,28800,-288.9244317,-288.9766273,-0.052195524
8698,718517.63,5703686.9,28800,-287.6538229,-287.7060184,-0.052195524
8921,719517.63,5703686.9,28800,-286.4406406,-286.4928362,-0.052195524
9144,720517.63,5703686.9,28800,-285.2857231,-285.3379186,-0.052195524
9367,721517.63,5703686.9,28800,-284.1898834,-284.2420789,-0.052195524
9590,722517.63,5703686.9,28800,-284.5537823,-284.5537831,-7.62537E-07
9813,723517.63,5703686.9,28800,-280.7438851,-280.7438858,-7.62536E-07
10036,724517.63,5703686.9,28800,-276.9402003,-276.940201,-7.62536E-07
10259,725517.63,5703686.9,28800,-273.1430294,-273.1430302,-7.62536E-07
10482,726517.63,5703686.9,28800,-269.352693,-269.3526938,-7.62537E-07
10705,727517.63,5703686.9,28800,-265.5695327,-265.5695335,-7.62536E-07
10928,728517.63,5703686.9,28800,-261.7939122,-261.7939129,-7.62536E-07
11151,729517.63,5703686.9,28800,-258.0262195,-258.0262203,-7.62537E-07
11374,730517.63,5703686.9,28800,-254.266869,-254.2668698,-7.62536E-07
11597,731517.63,5703686.9,28800,-250.5163033,-250.5163041,-7.62536E-07
11820,732517.63,5703686.9,28800,-246.7749957,-246.7749965,-7.62536E-07
12043,733517.63,5703686.9,28800,-243.0434528,-243.0434536,-7.62536E-07
12266,734517.63,5703686.9,28800,-239.3222176,-239.3222184,-7.62536E-07
12489,735517.63,5703686.9,28800,-235.6118721,-235.6118729,-7.62536E-07
12712,736517.63,5703686.9,28800,-231.9130414,-231.9130422,-7.62536E-07
12935,737517.63,5703686.9,28800,-228.2263969,-228.2263977,-7.62536E-07
13158,738517.63,5703686.9,28800,-224.552661,-224.5526618,-7.62536E-07
13381,739517.63,5703686.9,28800,-220.8926113,-220.892612,-7.62536E-07
13604,740517.63,5703686.9,28800,-217.2470859,-217.2470867,-7.62536E-07
13827,741517.63,5703686.9,28800,-213.6169892,-213.61699,-7.62537E-07
14050,742517.63,5703686.9,28800,-210.0032978,-210.0032985,-7.62536E-07
14273,743517.63,5703686.9,28800,-206.4070673,-206.407068,-7.62536E-07
14496,744517.63,5703686.9,28800,-202.8294404,-202.8294411,-7.62537E-07
14719,745517.63,5703686.9,28800,-199.2716548,-199.2716556,-7.62536E-07
14942,746517.63,5703686.9,28800,-195.7350527,-195.7350535,-7.62536E-07
15165,747517.63,5703686.9,28800,-192.221091,-192.2210918,-7.62537E-07
15388,748517.63,5703686.9,28800,-188.7313526,-188.7313534,-7.62537E-07
