personId,age,sex,income,homeX,homeY,district,twalk_rawSum,pt_rawSum,car_base_rawSum,car_policy_rawSum,twalk_logSum,pt_logSum,car_logSum_base,car_logSum_policy,car_delta,car_base_logSum_no_income,base_car_delta_incomeFactor,mm_logSum_base,mm_logSum_policy,mm_delta,outcome
berlin_8986df07,32,m,1500,803609.869285465,5827208.378851794,Friedrichshain-Kreuzberg,5.960109999426711e-9,0.00128316013720176,0.01014847902243784,4.188729679423717e-5,-18.938176899759817,-6.65842938648281,-4.590431434729099,-10.080527956139418,-5.49009652141032,-3.5853598736948515,-1.005071561034247,-4.4713698815455025,-6.626302522917383,-2.1549326413718806,Loser
berlin_8cb0d2cb,35,m,1500,797433.8547380778,5825156.123879041,Friedrichshain-Kreuzberg,0.02911054523027323,0.03618780508914122,0.3062195666435427,1.592919560014295e-6,-3.536654791400929,-3.319033092896449,-1.1834528962863125,-13.349942024221999,-12.166489127935687,-0.9143223353471148,-0.2691305609391976,-0.9901581872848478,-2.7287641119348236,-1.7386059246499759,Loser
bb_0f8b5648,61,m,500,788717.11,5844960.69,NA,5.710864506451283e-50,9.702307750665192e-7,8.260839475894397e-15,1.6248150097684048e-14,-113.38688423531391,-13.845731881305948,-32.42725018107771,-31.750797332757738,0.6764528483199719,-11.680117004155289,-20.74713317692242,-13.845731872791646,-13.845731864559262,8.232383663653309e-9,Winner
berlin_0b48e3aa,55,f,4600,808101.4333296609,5829472.433285538,Marzahn-Hellersdorf,2.535909880716636e-18,2.2531172138938856e-4,0.00343006730082474,2.2934788133996393e-4,-40.51597917394428,-8.398025686183011,-5.67517539676508,-8.380270574635599,-2.7050951778705192,-6.566781305912007,0.8916059091469268,-5.611555491508643,-7.695961544868683,-2.0844060533600404,Loser
bb_8c68b3d6,48,f,1500,808591.47,5837454.96,NA,5.209822986425594e-26,2.8606150079669792e-5,2.2730152081689985e-5,4.390403379742457e-6,-58.21666653839115,-10.461888825505078,-10.69181822933074,-12.33608944905234,-1.644271219721599,-8.321586651646014,-2.370231577684727,-9.87711241157889,-10.319107442575968,-0.44199503099707727,Loser
berlin_d7f31a1e,51,m,5600,800822.9337532005,5823887.75743323,Neukölln,1.305160864650023e-5,0.01680184974206943,0.18661876681199463,1.077382457893305e-6,-11.246599163861386,-4.086266294939282,-1.6786874232144127,-13.740976108721053,-12.06228868550664,-2.038902933310803,0.3602155100963904,-1.592415282208752,-4.0854257295263965,-2.493010447317644,Loser
berlin_42fda2bc,63,f,2000,800429.2325767002,5821709.9243822675,Neukölln,3.324697490922015e-13,0.00408321945341454,0.01002325038615254,2.195960523185049e-4,-28.732227519127555,-5.500869520008119,-4.602847846092843,-8.423720825182171,-3.8208729790893283,-4.039946714845516,-0.5629011312473269,-4.261121732945685,-5.448485701697774,-1.1873639687520896,Loser
berlin_995e2550,55,f,5600,791117.1363777048,5825117.14896258,Charlottenburg-Wilmersdorf,0.12576586268661924,0.13515012041616728,0.4485147627683846,0.01170416772630594,-2.07333333333265,-2.0013691152784476,-0.8018136821534642,-4.447810284684671,-3.645996602531207,-0.8757852197638353,0.07397153761037112,-0.3432923969119742,-1.2996758415819727,-0.9563834446699985,Loser
berlin_2587c273,65,m,2600,797063.0977219361,5831277.87176916,Mitte,3.2968612894620773e-9,0.00510208266589292,0.03381014298382359,0.00534562842660234,-19.530294945485238,-5.278106456749145,-3.386994433231841,-5.231476168618824,-1.8444817353869825,-3.3130527860847465,-0.07394164714709461,-3.246446708954629,-4.561372043215607,-1.3149253342609777,Loser
bb_f227ef12,27,f,1500,817356.02,5754537.25,NA,7.720848029699926e-99,1.4889249702065742e-14,1.4025855855304688e-19,1.567603497551081e-19,-225.912,-31.838136938868793,-43.41079938678288,-43.2995687483958,0.11123063838707736,-31.673696707878506,-11.737102678904371,-31.838127518790497,-31.83812641049915,1.1082913466964328e-6,Winner
berlin_ba814996,15,m,2600,797686.5494315142,5830754.492930861,Mitte,3.945801434200615e-6,0.0093857305012451,0.08227176120624467,0.0033079090029365,-12.442858472410364,-4.668564774866252,-2.497727350394062,-5.711439010380277,-3.2137116599862146,-2.4336523174462794,-0.0640750329477826,-2.389653516968017,-4.36634343701132,-1.9766899200433032,Loser
bb_f582cb41,56,f,2000,769383.85,5833783.06,NA,5.201680643867506e-37,2.0993826651166007e-6,7.963342742393774e-6,5.214411308543498e-6,-83.54666666666667,-13.073867225444346,-11.74066170374738,-12.164084360151232,-0.42342265640385257,-10.192248326949564,-1.548413376797816,-11.506672514724112,-11.825748407397832,-0.3190758926737196,Loser
bb_39629b8f,56,m,3000,788505.88,5816058.14,NA,9.263888104828159e-23,1.6526547183979178e-6,9.169092510674624e-4,2.7457162090123655e-4,-50.733333296599724,-13.31312764273617,-6.99450205345396,-8.200298417016828,-1.2057963635628681,-7.169782505100218,0.17528045164625805,-6.992701256793289,-8.194297429397166,-1.2015961726038764,Loser
berlin_5a2b3b7e,64,m,1500,800436.9594645444,5819154.320846504,Neukölln,1.0829883344503546e-20,6.289816203077018e-4,3.758691945452272e-4,4.636234915375475e-6,-45.97197766343406,-7.37140852218726,-7.886269361948847,-12.281607961774116,-4.395338599825268,-6.104317007980312,-1.781952353968535,-6.90291619142225,-7.364064537269146,-0.4611483458468957,Loser
berlin_020b1d8c,94,m,500,808846.2242111475,5819517.786651301,Treptow-Köpenick,2.0593487317403268e-32,8.990007682334665e-5,7.150279990424553e-9,9.85807033757814e-11,-72.96033319263442,-9.316811761944832,-18.75611432150727,-23.04014557960088,-4.284031258093609,-7.256794680876059,-11.49931964063121,-9.316732229246906,-9.316810665386823,-7.843613991731502e-5,Loser
berlin_d72d739b,60,f,1500,810291.9102143457,5832308.494120088,Marzahn-Hellersdorf,7.776832832740144e-31,5.135512970934418e-6,7.238990701423747e-5,3.986758892518137e-6,-69.32898871841655,-12.179330822604394,-9.533443674171204,-12.432531964802692,-2.8990882906314877,-7.3575065117317955,-2.175937162439409,-9.46490467557648,-11.60479167706553,-2.1398870014890488,Loser
berlin_fe16e610,90,m,2000,803315.4104947818,5826807.688259943,Friedrichshain-Kreuzberg,2.926866269426221e-10,0.0046905867883692,0.02245448422928396,3.7605389557101925e-5,-21.95191861188867,-5.362197589559278,-3.796264941787326,-10.188363178555893,-6.392098236768566,-3.3845593973611217,-0.41170554442620455,-3.6065597846125246,-5.354212291032439,-1.747652506419914,Loser
bb_007e776d,37,m,3600,753871.5,5869368.35,NA,7.027779443627346e-116,2.631647000468817e-9,1.1595055421797607e-10,9.248028638625551e-11,-265.15000000000003,-19.755655950840925,-22.877857272436998,-23.104025614272082,-0.22616834183508416,-25.878627771706537,3.0007704992695388,-19.712538923570733,-19.721117721830495,-0.008578798259762266,Loser
berlin_873bb8ab,68,m,500,781315.4171542274,5827653.804178856,Spandau,6.615636561432752e-11,0.00223747951209353,3.6790099801290566e-4,3.1717537958662607e-4,-23.439,-6.102405264463429,-7.907696683128479,-8.056055689164856,-0.14835900603637686,-3.5558478343521176,-4.351848848776362,-5.950176519912909,-5.969838110302529,-0.01966159038962001,Loser
berlin_1e37956b,73,m,500,797516.7721493993,5821326.145310987,Tempelhof-Schöneberg,6.01165639509039e-14,0.00177989853136752,1.647621605672227e-4,3.147960777241287e-7,-30.442490984837793,-6.331198921152689,-8.711007575061503,-14.97134078006106,-6.260333204999558,-3.5867241089369775,-5.124283466124526,-6.242667768546671,-6.331022074946087,-0.08835430639941588,Loser
bb_1201ba4d,3,m,5600,813919.73,5844902.23,NA,1.9456206313176366e-46,5.937634299350132e-10,2.2878312529647673e-5,3.907126625648457e-6,-105.25333326090255,-21.244540141997582,-10.685321147247409,-12.452708332473236,-1.767387185225827,-13.198673010138393,2.5133518628909837,-10.685295194471202,-12.452556374685717,-1.7672611802145148,Loser
berlin_7af285e2,57,m,3000,798268.0493966616,5830832.050112042,Mitte,8.348990627150052e-6,0.00255550662183805,0.07742003228024243,0.00712997739837547,-11.693369909384488,-5.969504788548947,-2.5585097168830653,-4.943447214494271,-2.384937497611206,-2.616528704873326,0.05801898799026084,-2.525930065933384,-4.636265367739851,-2.110335301806467,Loser
berlin_813d80d8,68,m,2600,787487.0173448739,5830296.001226105,Spandau,2.3346241888441844e-10,0.00137737428082159,0.02111343726721249,0.01763767001256749,-22.177999998734755,-6.58757628729344,-3.857845603886295,-4.037718322582902,-0.1798727186966067,-3.774686428664349,-0.08315917522194605,-3.7946484184423874,-3.9625247959348426,-0.1678763774924552,Loser
berlin_dfb84052,89,m,1500,813536.3866431564,5830558.418738241,Marzahn-Hellersdorf,1.4255092299103952e-39,1.8558318362842272e-6,5.381726272487287e-6,3.768982750631599e-7,-89.44628952255994,-13.197177533155495,-12.132501366765805,-14.791290513327041,-2.6587891465612365,-9.334979851023062,-2.7975215157427424,-11.836226686251587,-13.012285456115567,-1.17605876986398,Loser
berlin_39a3549c,99,m,500,800173.8494963059,5832599.377824082,Pankow,1.241533626413545e-8,0.00127966919089037,6.112536547908227e-4,8.019958254299583e-4,-18.204333333042133,-6.661153679070075,-7.399998537985178,-7.12840715531086,0.2715913826743179,-3.3674567361392187,-4.03254180184596,-6.270683725207852,-6.174581252753847,0.09610247245400494,Winner
berlin_84a7ccaf,1,m,3600,796362.6275090897,5829383.86797924,Mitte,0.00694315384292826,0.00804297189237823,0.13029961746346674,1.3196005462063247e-10,-4.969999163465954,-4.822956625735188,-2.0379187306694098,-22.748521855650154,-20.710603124980743,-2.1992206893775945,0.16130195870818476,-1.9290528329806382,-4.200630448085129,-2.271577615104491,Loser
berlin_9e815e4c,17,m,3600,795684.4111099613,5830586.412664049,Mitte,1.9706081526299848e-4,0.00525629949730965,0.1012644810955601,0.01363844331948239,-8.531998169947688,-5.248328017438907,-2.290019560056301,-4.2948627592173585,-2.0048431991610576,-2.484200049005233,0.19418048894893225,-2.237566923704798,-3.9584961652436212,-1.720929241538823,Loser
berlin_d9b45f0c,41,f,3000,798463.6296406037,5836893.289652269,Pankow,4.8132357546903266e-17,6.767059206306507e-6,8.056252764956995e-4,1.829067935765296e-4,-37.57257700887896,-11.90344395148299,-7.123891841064427,-8.606533859591163,-1.482642018526736,-7.271780110878824,0.14788826981439662,-7.115527162445759,-8.570204525089075,-1.4546773626433156,Loser
berlin_0a023e3b,79,m,2000,793431.7152935455,5831942.422570187,Mitte,4.4283237113963496e-12,7.515766902534439e-4,0.01070094896164549,0.00210760526295616,-26.142999998199507,-7.1933373044058335,-4.537422853442574,-6.162202922499902,-1.6247800690573282,-4.005550624022014,-0.5318722294205598,-4.46954499196775,-5.857219723862341,-1.3876747318945917,Loser
berlin_1c364bb1,82,m,4600,804074.2199176175,5827323.3339801775,Lichtenberg,8.136229789780846e-13,0.00128316013720176,0.03774393244030871,5.187675241791353e-4,-27.837279306993462,-6.65842938648281,-3.276930546263611,-7.564054705439809,-4.287124159176198,-3.7761088487877097,0.4991783025240988,-3.243499192536502,-6.318898263668051,-3.0753990711315486,Loser
bb_0e3e599d,67,f,2000,828973.05,5810574.26,NA,1.484143533772546e-96,5.464254266725465e-15,4.244177416118503e-12,1.3619794766443564e-13,-220.65333106648936,-32.84054873881908,-26.18547309206412,-29.624667069851863,-3.439193977787742,-22.294050695861657,-3.891422396202465,-26.184186449397284,-29.58533103093105,-3.4011445815337673,Loser
berlin_29ccfaf3,64,f,500,798235.7876053918,5824462.855377604,Friedrichshain-Kreuzberg,1.4758646970042843e-5,0.01250939653716019,0.01916387177929407,9.371536409853632e-7,-11.123681411690063,-4.381275194103264,-3.954728450690487,-13.88041859698078,-9.925690146290293,-1.491047571037969,-2.463680879652518,-3.451816367759567,-4.38002125976124,-0.9282048920016734,Loser
berlin_94a6b23f,39,f,3600,794981.1900092079,5832759.608026379,Reinickendorf,7.18896828319897e-10,5.36392601860679e-4,0.02301151969777956,0.00315134579589455,-21.05330326180004,-7.530644198857906,-3.771760332014503,-5.7599256805923265,-1.9881653485778235,-4.11074602294003,0.3389856909255271,-3.7487180816170214,-5.602741714224779,-1.8540236326077575,Loser
bb_eaa173a4,63,m,3000,822217.47,5823117.05,NA,6.014481034708814e-66,8.931195079897962e-10,4.3294030417477403e-7,2.25087255335384e-8,-150.1764460704215,-20.83630071646999,-14.652665984095437,-17.609362801421003,-2.9566968173255663,-15.078342496365416,0.4256765122699786,-14.650605192921535,-17.570450969762536,-2.919845776841001,Loser
berlin_a14206de,42,f,2000,798370.5861366385,5829889.793676252,Mitte,3.980957737969894e-5,0.02037365508445773,0.09141024477654906,1.5170553701004003e-4,-10.131403036941608,-3.8935126301586167,-2.392397719532564,-8.793569172539302,-6.401171453006738,-2.097835969301568,-0.2945617502309963,-2.190831670634034,-3.8841564011926173,-1.6933247305585835,Loser
bb_1061fb67,33,m,500,807957.37,5854980.47,NA,6.521511444903482e-60,7.132127782827815e-17,1.6373625144841615e-21,3.1227031363992208e-21,-136.27999941386653,-37.17933696422891,-47.86120022849294,-47.21558793628109,0.645612292211851,-15.346375344392596,-32.51482488410034,-37.179314006932444,-37.17929318157566,2.0825356784826e-5,Winner
berlin_5ee7dffc,21,f,5600,800758.0731659976,5830850.306648412,Pankow,0.00779712668416045,0.00951879708686374,0.19533357803685897,0.06495470359090659,-4.853999986978479,-4.654486794584384,-1.6330465253255941,-2.7340651198439585,-1.1010185945183644,-1.9301307881160237,0.29708426279042954,-1.548110000065003,-2.4977411321839558,-0.9496311321189528,Loser
berlin_08c78b71,32,f,5600,812753.7329796327,5830605.464194223,Marzahn-Hellersdorf,7.60413978144773e-29,4.209524820197997e-6,5.395634203115955e-4,4.294444943853702e-5,-64.74627488974942,-12.378160785951843,-7.5247502263073525,-10.055603150981089,-2.530852924673736,-9.095989103572512,1.5712388772651593,-7.51697877850816,-9.962092262750133,-2.445113484241973,Loser
berlin_4b2473a9,60,f,4600,799799.3799538225,5829668.013865854,Pankow,0.02068527193262338,0.05564542978035106,0.30411730956199573,0.00777076264254558,-3.878333332787112,-2.8887553289752708,-1.190341765293955,-4.857386967225424,-3.667045201931469,-1.3808490115213528,0.1905072462273978,-0.9664057436699685,-2.475731300079674,-1.5093255564097057,Loser
bb_4d3c39e6,12,f,5600,788541.83,5815922.76,NA,5.000096334453422e-23,1.6526547183979157e-6,0.0031399344471845,8.486573062460539e-4,-51.34999995972387,-13.313127642736172,-5.76355335597273,-7.071855097136674,-1.3083017411639437,-7.033938604256167,1.2703852482834366,-5.763027160291122,-7.069909614994017,-1.3068824547028948,Loser
bb_3b9d96f7,45,m,5600,775575.09,5815619.05,NA,1.2374639765970089e-36,1.676019591504343e-5,1.6209543872849232e-4,2.955080206978159e-4,-82.67999924256924,-10.996503773536926,-8.72732526824598,-8.126814578685073,0.6005106895609078,-10.789130195858217,2.0618049276122363,-8.62893158789929,-8.071648070827273,0.5572835170720172,Winner
berlin_3fa59a7f,63,f,2000,809908.9903269513,5832868.067972473,Marzahn-Hellersdorf,3.4679215696570904e-30,2.971942272821758e-5,1.5564761928641663e-4,9.313069964728676e-6,-67.83399734659794,-10.423709761983789,-8.76791595649452,-11.584091771865335,-2.8161758153708156,-7.717205675846032,-1.0507102806484871,-8.593172687546287,-10.151116112735101,-1.5579434251888138,Loser
berlin_398cac57,5,m,1500,794375.3655725343,5833285.193023769,Reinickendorf,2.5221638291662585e-11,3.084488513909464e-4,0.00141411893916869,2.7302359103491844e-4,-24.403318827483243,-8.083954526125103,-6.561248599650145,-8.205952352465474,-1.644703752815329,-5.081143394046068,-1.4801052056040769,-6.363939185296293,-7.449946934250278,-1.0860077489539846,Loser
berlin_e54726df,24,f,3000,804619.0001589453,5815776.9594799755,Neukölln,2.7305774349855544e-23,1.1393815927151403e-4,1.4116356188004046e-4,1.462369199272636e-6,-51.95494403738553,-9.079854719286386,-8.865591326548088,-13.435452698234851,-4.569861371686763,-9.08156472999587,0.21597340344778182,-8.2738481858712,-9.067101624431205,-0.7932534385600043,Loser
