personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
bb_b70de448,28800.0,car,62,f,medium,always,false,787677.61,5803639.04,-83.57536145849683,
bb_b602b124,28800.0,car,2,f,high,never,false,783136.56,5849072.09,-10.420072640352219,
bb_3f408ef6,28800.0,car,63,m,very_low,always,true,818465.46,5829900.42,-38.14181097019131,
bb_acfe14d0,28800.0,car,60,f,medium,always,false,813940.23,5830688.74,-28.280666114287406,
bb_5089198a,28800.0,car,34,m,high,always,false,806420.95,5842457.56,-22.597148706491126,
bb_1d906c5a,28800.0,car,17,m,very_low,never,false,781336.46,5809509.33,-29.955733878971788,
bb_a3886029,28800.0,car,62,f,very_high,always,true,778427.56,5835173.41,-16.002572696686972,
bb_99dbed03,28800.0,car,10,f,medium,never,false,791945.99,5799807.45,-29.467887406682205,
bb_68066ec8,28800.0,car,32,m,medium,always,false,788023.71,5804093.38,-78.1859596599916,
bb_2fd5b207,28800.0,car,18,f,high,always,false,784551.42,5811197.33,-27.163007817227818,
bb_ce658c13,28800.0,car,26,f,medium,always,false,845137.59,5812165.97,-27.536747352509092,
bb_8b76e068,28800.0,car,43,f,high,always,false,789362.64,5845739.16,-12.269885645668243,
bb_7255fd46,28800.0,car,10,f,medium,never,false,769987.83,5795240.04,-37.153344715314205,
bb_9fae88f5,28800.0,car,8,m,very_low,never,false,822888.55,5832005.04,-30.617959558990254,
bb_27967947,28800.0,car,19,f,medium,always,true,788450.7,5793470.52,-25.379547237841347,
bb_7a2d4056,28800.0,car,55,f,high,always,false,825720.78,5823831.99,-25.8918389633611,
bb_7a717fc5,28800.0,car,55,f,medium,always,false,793347.34,5811109.28,-30.591066405638983,
bb_d66a55af,28800.0,car,80,f,very_low,always,false,816007.4,5807853.2,-23.77368103648764,
bb_35b235e5,28800.0,car,42,f,high,always,false,825074.06,5831069.76,-27.0196218045544,
bb_21127b2b,28800.0,car,55,f,high,always,false,812114.77,5846402.82,-23.764492981848,
bb_bc021717,28800.0,car,2,f,high,never,false,789073.92,5803611.67,-24.887991046046974,
bb_892a2ada,28800.0,car,27,m,very_low,always,false,762164.41,5832362.33,-19.560679743304075,
bb_b53fb4e7,28800.0,car,69,m,medium,always,true,823311.07,5817794.22,-30.25794107899487,
bb_2f571158,28800.0,car,51,f,high,always,false,752382.89,5819932.04,-20.806779008083513,
bb_bd7372cb,28800.0,car,42,m,high,always,false,802219.53,5815547.26,-75.34220127845185,
bb_4ced5093,28800.0,car,98,m,medium,always,true,816824.32,5808718.79,-35.15112659364319,
bb_14a2efcb,28800.0,car,58,m,very_low,always,false,799522.29,5856316.72,-14.649378070859475,
bb_ba13e9c9,28800.0,car,67,f,medium,always,false,813925.51,5804484.05,-35.99482960375302,
bb_56f9ed55,28800.0,car,35,m,medium,always,false,703693.51,5890075.58,-35.95373177930781,
bb_83c914ba,28800.0,car,16,f,very_high,never,false,814967.61,5806649.74,-35.357263324544434,
bb_c05b6306,28800.0,car,55,m,high,always,false,779254.85,5849147.37,-11.206555300368441,
bb_768590c9,28800.0,car,79,f,medium,always,true,777448.3,5812564.48,-27.43298579522446,
bb_019c9ad5,28800.0,car,31,m,medium,always,false,764049.12,5838827.42,-25.380003582832845,
bb_a0ad4978,28800.0,car,44,f,high,always,false,746804.93,5806104.27,-24.891199554483844,
bb_4ca22c70,28800.0,car,35,m,very_high,always,false,824290.36,5866248.36,-22.631536459304513,
bb_408b5af0,28800.0,car,41,f,high,always,false,777624.35,5810833.75,-28.35831735707295,
bb_c29579b7,28800.0,car,73,m,medium,always,false,829949.96,5837216.11,-27.95272193222595,
bb_ab0e32d5,28800.0,car,80,f,low,always,false,788968.2,5848279.15,-13.02727777680488,
bb_960fcccb,28800.0,car,32,m,low,always,true,812980.63,5810473.24,-33.35311668972017,
bb_b2a878f5,28800.0,car,3,f,very_low,never,false,767826.52,5810373.66,-30.970502791088407,
bb_9a9bcc68,28800.0,car,58,m,low,always,false,803764.18,5794298.21,-55.7140632047236,
bb_d46925d7,28800.0,car,62,f,medium,always,false,813543.04,5823999.86,-32.405965721701506,
bb_97f0ceda,28800.0,car,13,f,medium,never,false,774101.7,5800662.23,-40.53607590646081,
bb_ae21c920,28800.0,car,7,f,high,never,false,807353.98,5844375.72,-21.624749464380137,
bb_a618e669,28800.0,car,83,m,high,always,true,773627.66,5811449.37,-25.36855756737504,
bb_bd0cb1dc,28800.0,car,61,m,high,always,false,776708.19,5832878.34,-18.139277630161928,
bb_38e7694a,28800.0,car,76,f,low,always,false,785197.15,5853168.53,-10.636596035779721,
bb_02cb558c,28800.0,car,40,m,very_low,always,false,766585.73,5828911.74,-20.505460196946025,
bb_d07b0278,28800.0,car,42,m,low,always,false,770396.68,5828377.36,-46.903054824577325,
bb_9e82903c,28800.0,car,66,f,low,always,true,762410.68,5836295.55,-17.901202976927337,
bb_969f7b4b,28800.0,car,69,f,medium,always,false,788258.65,5849255.82,-11.867740804953907,
bb_7ce7c44e,28800.0,car,41,m,high,always,false,782209.71,5845680.87,-12.939048690094236,
bb_a95dbee6,28800.0,car,63,m,low,always,false,796731.36,5841982.17,-17.70427100160989,
bb_5373be38,28800.0,car,95,f,medium,always,false,787095.75,5801802.06,-32.51859917143326,
bb_1474b01e,28800.0,car,52,m,high,always,false,787093.99,5814744.78,-26.507407367805627,
bb_612ac13f,28800.0,car,39,m,very_low,always,false,775475.24,5813192.51,-25.506904431094824,
bb_4dac56fd,28800.0,car,62,m,very_low,always,false,777296.08,5840452.64,-12.42406231488359,
bb_479fe874,28800.0,car,60,f,high,always,false,784257.79,5840575.73,-16.478256898809654,
bb_ab592856,28800.0,car,57,f,high,always,false,778796.37,5806585.17,-23.065810174833857,
bb_8ce31b76,28800.0,car,89,m,medium,always,false,799709.2,5809417.14,-23.159824454119217,
bb_25afdc84,28800.0,car,63,m,high,always,false,785764.65,5814109.97,-26.812020476329106,
bb_4c3256f8,28800.0,car,98,m,medium,always,true,816021.35,5798404.39,-43.920759048105154,
bb_4b0f5051,28800.0,car,72,m,very_low,always,false,781721.73,5810843.8,-25.25360005350559,
bb_83c7b069,28800.0,car,59,m,medium,always,false,783934.59,5840543.46,-14.479732260634524,
bb_675c7443,28800.0,car,12,f,very_low,never,false,803625.38,5797907.1,-36.840832880858734,
bb_76866cad,28800.0,car,63,m,high,always,true,771774.39,5828233.35,-16.2687522012077,
bb_9fb02381,28800.0,car,38,f,high,always,false,791907.45,5815609.06,-34.41612993682712,
bb_3f00bbbf,28800.0,car,33,m,high,always,false,808314.22,5842812.42,-21.730714283413867,
bb_9e345ca1,28800.0,car,55,f,very_low,always,true,779879.91,5837283.22,-15.984255672675406,
bb_6e2c6dc8,28800.0,car,56,m,low,always,true,823137.78,5818007.19,-30.52044945571779,
bb_67d618d4,28800.0,car,43,m,very_high,always,false,789141.38,5803423.42,-24.89981570166423,
bb_7c02c018,28800.0,car,23,f,medium,always,false,792282.18,5840214.25,-16.890187045484204,
bb_9dc7c3eb,28800.0,car,73,m,medium,always,false,786452.02,5815224.76,-26.603582971849303,
bb_86eacbc5,28800.0,car,5,m,medium,never,false,809898.99,5849004.77,-24.45588275011324,
bb_602b4e95,28800.0,car,21,f,high,always,false,788215.42,5815533.37,-26.368061769917794,
bb_1d115e8f,28800.0,car,20,f,low,always,true,779631.48,5830761.45,-52.26946432563169,
bb_468239e7,28800.0,car,41,f,very_low,always,false,762385.49,5836761.08,-16.157956354103256,
bb_47d30c96,28800.0,car,73,f,low,always,false,760969.9,5820781.8,-24.600819678379448,
bb_bd974680,28800.0,car,48,m,very_low,always,false,776578.85,5840088.96,-28.16651095902588,
bb_33d39298,28800.0,car,48,f,low,always,true,765675.29,5808966.88,-30.57270832692649,
bb_83bc81f0,28800.0,car,77,f,low,always,true,817763.17,5828924.07,-22.788010037142577,
bb_30aaea5c,28800.0,car,85,m,medium,always,false,815383.87,5803523.67,-35.04915841251152,
bb_c273f8de,28800.0,car,65,f,medium,always,false,771684.28,5806893.77,-22.904700566500416,
bb_c57666cd,28800.0,car,86,f,low,always,false,800095.91,5849833.46,-17.121379964691492,
bb_0f927a26,28800.0,car,99,m,medium,always,false,726606.89,5832231.53,-26.301010871499226,
bb_44b4dc54,28800.0,car,2,m,high,never,false,809482.25,5846752.81,-19.024133784740883,
bb_79b587ec,28800.0,car,83,m,low,always,false,818780.11,5823148.14,-31.02938246534964,
bb_72be4066,28800.0,car,11,m,very_high,never,false,775036.93,5831302.96,-20.021261463229216,
bb_c5e49d07,28800.0,car,8,m,low,never,false,817406.76,5790700.81,-20.56129830004981,
bb_48736a4a,28800.0,car,1,f,low,never,true,777713.53,5846498.79,-11.132202703889673,
bb_08071708,28800.0,car,49,m,high,always,false,809288.2,5808239.03,-29.113955969768323,
bb_50cf7e25,28800.0,car,59,m,high,always,false,813914.59,5801035.38,-49.37150687594354,
bb_725bb1be,28800.0,car,74,f,low,always,true,801682.33,5802980.06,-33.81475388772644,
bb_1259312e,28800.0,car,37,m,high,always,false,775439.01,5803694.86,-32.1744775793891,
bb_3443f2ea,28800.0,car,5,f,medium,never,false,765601.3,5809150.05,-23.83688548807409,
bb_398b5d15,28800.0,car,4,m,medium,never,false,781521.81,5810961.16,-27.055742611536896,
bb_55da5bc0,28800.0,car,30,m,very_low,always,false,819169.59,5822382.67,-41.431711991025395,
bb_b58fecd6,28800.0,car,46,f,very_low,always,false,811455.68,5846793.18,-49.09363729430122,
bb_adeba147,28800.0,car,97,f,high,always,true,802592.22,5858737.5,-15.079577248214854,
bb_544c4187,28800.0,car,63,f,high,always,false,746972.21,5806123.6,-25.038173458210483,
bb_07af4e67,28800.0,car,85,f,medium,always,false,770615.54,5814550.95,-26.098826286701637,
bb_0ead5963,28800.0,car,63,m,high,always,false,793262.04,5809532.03,-30.979370622361365,
bb_877a95e6,28800.0,car,19,m,low,always,true,816685.45,5841332.23,-27.97667627627512,
bb_52792a99,28800.0,car,52,f,medium,always,false,861776.69,5852719.12,-28.295981420140308,
bb_aa428d45,28800.0,car,73,f,very_low,always,false,782893.99,5849361.54,-10.74145068737552,
bb_463c0846,28800.0,car,65,m,very_low,always,false,814797.48,5812835.86,-30.87815957108556,
bb_69e66033,28800.0,car,40,m,low,always,true,813793.48,5808577.78,-85.25784780994948,
bb_a18ae56c,28800.0,car,64,m,medium,always,false,758521.28,5807990.9,-21.772741887711796,
bb_bac0e7ae,28800.0,car,62,m,very_high,always,false,799410.23,5806989.93,-28.879001014964096,
bb_98e95885,28800.0,car,83,f,low,always,false,774874.54,5815248.59,-66.84821245143402,
bb_486e5fea,28800.0,car,65,f,very_low,always,false,791716.76,5814510.05,-57.69403467346709,
bb_3c0611eb,28800.0,car,18,m,high,always,false,780212.39,5813407.34,-27.569501787737178,
bb_cb04f134,28800.0,car,72,f,medium,always,false,771147.7,5806469.56,-22.25512567610479,
bb_8835f414,28800.0,car,57,m,high,always,false,823567.44,5864010.6,-26.618651207580378,
bb_ab750a17,28800.0,car,22,m,medium,always,false,783686.52,5841116.42,-14.232203752564747,
bb_7e11eda0,28800.0,car,70,m,very_low,always,false,792598.26,5840306.43,-16.623842679858388,
bb_8c7bd3e5,28800.0,car,69,f,medium,always,false,787806.4,5846163.89,-13.343307687639117,
bb_1c39ad66,28800.0,car,51,m,high,always,false,778916.97,5831578.96,-18.38498567243999,
bb_a042ed7b,28800.0,car,24,m,low,always,false,810076.89,5849131.04,-23.010440019609387,
