personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_23e8bd86,28800.0,teleportedWalk,64,f,very_low,always,false,794899.6422022495,5830777.589032652,-16.72,
berlin_7a9c256c,28800.0,teleportedWalk,64,m,very_high,always,false,796785.3179033485,5832681.712867588,-31.85,
berlin_bfbcde80,28800.0,teleportedWalk,32,m,medium,always,false,795568.4150859688,5828062.137087843,-3.663333333333333,
berlin_6d84de7c,28800.0,teleportedWalk,37,f,medium,always,false,799916.213572818,5827988.022439843,-22.623333333333335,
berlin_9f9e954b,28800.0,teleportedWalk,41,f,medium,always,false,799741.3506699123,5828019.251341485,-21.7,
berlin_18400a71,28800.0,teleportedWalk,12,m,high,never,false,794546.5450889962,5828687.189740319,-5.67,
berlin_c0c9619b,28800.0,teleportedWalk,59,m,high,always,true,795989.5811081128,5831163.067471216,-12.61,
berlin_a968caa3,28800.0,teleportedWalk,51,f,medium,always,true,797824.3824692764,5828681.20061511,-11.393333333333333,
berlin_8de44a24,28800.0,teleportedWalk,40,f,low,always,false,799734.8640476069,5828063.217124515,-21.63,
berlin_4702a285,28800.0,teleportedWalk,34,f,medium,always,false,797900.4056588034,5830451.410884903,-14.69,
berlin_f9bacd2e,28800.0,teleportedWalk,31,m,medium,always,false,795323.5693646567,5825945.8469069665,-14.739999999999998,
berlin_876ced6c,28800.0,teleportedWalk,27,f,very_high,always,false,794508.2677814839,5828330.256626922,-5.646000000000001,
berlin_f8e42c19,28800.0,teleportedWalk,60,m,medium,always,true,796074.8582183539,5830762.331246781,-15.96,
berlin_01b9b16d,28800.0,teleportedWalk,46,f,low,always,false,799126.0142495052,5826796.889082291,-20.836666666666666,
berlin_af1b064c,28800.0,teleportedWalk,19,f,low,always,false,794758.64114706,5831122.320295967,-11.772000000000002,
berlin_d1288b99,28800.0,teleportedWalk,51,f,medium,always,false,798110.5623334462,5830341.741321588,-15.266666666666666,
berlin_0072f557,28800.0,teleportedWalk,53,f,high,always,false,797109.1270121298,5829132.788343149,-7.903333333333334,
