personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_060aedf3,28800,teleportedWalk,19,m,low,always,FALSE,793467.8377,5831992.710394172,-20.22
berlin_0620a4fa,28800,teleportedWalk,40,f,medium,always,FALSE,795263.6339,5830151.686736032,-7.47
berlin_062b28ac,28800,teleportedWalk,71,m,low,always,FALSE,795495.7371107403,5831477.278441142,-14.12666667
berlin_0634ef42,28800,teleportedWalk,60,m,medium,always,FALSE,795536.0388168634,5830499.467035557,-9.04
berlin_063c22bf,28800,teleportedWalk,1,m,high,never,FALSE,794008.0916100845,5828737.876592149,-8.456666667
berlin_063de430,28800,teleportedWalk,23,f,very_low,always,FALSE,796738.3181047308,5832504.573602879,-20.28
berlin_0662f9d9,28800,teleportedWalk,12,m,medium,never,FALSE,794093.0921323625,5830883.733086294,-13.63
berlin_0671e952,28800,teleportedWalk,34,f,medium,always,FALSE,797243.3982399718,5831788.420289258,-17.81333333
berlin_06788370,28800,teleportedWalk,98,m,very_low,always,TRUE,798916.7390441522,5828610.093,-17.08333333
berlin_0682d00a,28800,teleportedWalk,44,f,high,always,FALSE,796839.7846833039,5831265.139,-14.43666667
berlin_068b112b,28800,teleportedWalk,64,m,low,always,TRUE,795456.1340329798,5830231.583412818,-7.686666667
berlin_06a26716,28800,teleportedWalk,92,m,medium,always,FALSE,794005.2804246079,5831639.518582484,-17.18666667
berlin_072781c3,28800,teleportedWalk,51,m,medium,always,FALSE,794062.7138672825,5832003.6240312485,-18.72333333
berlin_0729aa32,28800,teleportedWalk,50,f,medium,always,FALSE,796972.4462870484,5826422.792649425,-14.02
berlin_0737db38,28800,teleportedWalk,32,f,medium,always,FALSE,798916.0692486532,5827004.093988602,-19.36
berlin_07389064,28800,teleportedWalk,51,f,low,always,FALSE,796514.9704150199,5825979.4589261105,-15.18333333
berlin_07463b6b,28800,teleportedWalk,62,m,medium,always,FALSE,797455.0962946876,5829950.581,-11.3
