"id","xcoord","ycoord","personId","homeX","homeY","mode","age","sex","economic_status","accessibility","teleportedWalk_accessibility","diff","distance_m"
353,793947.408558944,5827845.83349804,"berlin_87d651bf",793887.259932832,5827822.202,"teleportedWalk",34,"f","very_high",-10.32,-9.98666666666667,0.33,64.62
391,794147.408558944,5827845.83349804,"berlin_776def71",794174.986138591,5827820.47888451,"teleportedWalk",93,"m","medium",-9.036666667,-9.08666666666667,0.05,37.46
429,794347.408558944,5827845.83349804,"berlin_c0d340df",794282.320382187,5827883.55006001,"teleportedWalk",61,"f","low",-8.39,-8.22,0.17,75.23
467,794547.408558944,5827845.83349804,"berlin_a34a578b",794536.773446655,5827776.00499615,"teleportedWalk",62,"m","high",-7.676666667,-7.39666666666667,0.28,70.63
505,794747.408558944,5827845.83349804,"berlin_183793a5",794712.278419916,5827817.10706323,"teleportedWalk",63,"f","medium",-6.87,-6.63666666666667,0.23,45.38
543,794947.408558944,5827845.83349804,"berlin_c50fead9",794973.4361,5827860.15492596,"teleportedWalk",94,"m","high",-5.82,-5.96,0.14,29.71
581,795147.408558944,5827845.83349804,"berlin_f2317845",795129.982319179,5827938.2154878,"teleportedWalk",67,"m","very_high",-5.03,-5.40333333333333,0.37,94.01
619,795347.408558944,5827845.83349804,"berlin_392e4ae2",795352.333528926,5827822.03802409,"teleportedWalk",64,"f","medium",-5.11,-5,0.11,24.3
657,795547.408558944,5827845.83349804,"berlin_bec7a13a",795574.403267897,5827844.7035362,"teleportedWalk",46,"f","medium",-4.786666667,-4.79333333333333,0.01,27.02
695,795747.408558944,5827845.83349804,"berlin_b09e98d3",795708.956884429,5827852.71327257,"teleportedWalk",6,"m","low",-4.75,-4.80666666666667,0.06,39.06
1303,798947.408558944,5827845.83349804,"berlin_021f2754",799010.543831629,5827839.492,"teleportedWalk",38,"f","medium",-18.2,-17.8733333333333,0.33,63.45
1417,799547.408558944,5827845.83349804,"berlin_98750f52",799607.392225238,5827826.5061206,"teleportedWalk",12,"m","low",-21.22333333,-20.8966666666667,0.33,63.02
1455,799747.408558944,5827845.83349804,"berlin_4555d7ce",799806.212167446,5827836.11491572,"teleportedWalk",59,"f","medium",-22.22,-21.91,0.31,59.6
