id,xcoord,ycoord,time,teleportedWalk_accessibility
349,793947.4085589435,5827045.83349804,28800.0,-12.52
387,794147.4085589435,5827045.83349804,28800.0,-11.813333333333333
425,794347.4085589435,5827045.83349804,28800.0,-11.16
463,794547.4085589435,5827045.83349804,28800.0,-10.57
501,794747.4085589435,5827045.83349804,28800.0,-10.053333333333333
539,794947.4085589435,5827045.83349804,28800.0,-9.62
577,795147.4085589435,5827045.83349804,28800.0,-9.283333333333333
615,795347.4085589435,5827045.83349804,28800.0,-9.056666666666667
653,795547.4085589435,5827045.83349804,28800.0,-8.943333333333333
691,795747.4085589435,5827045.83349804,28800.0,-8.95
729,795947.4085589435,5827045.83349804,28800.0,-9.076666666666666
767,796147.4085589435,5827045.83349804,28800.0,-9.32
805,796347.4085589435,5827045.83349804,28800.0,-9.67
843,796547.4085589435,5827045.83349804,28800.0,-10.113333333333333
881,796747.4085589435,5827045.83349804,28800.0,-10.643333333333333
919,796947.4085589435,5827045.83349804,28800.0,-11.24
957,797147.4085589435,5827045.83349804,28800.0,-11.9
995,797347.4085589435,5827045.83349804,28800.0,-12.613333333333333
1033,797547.4085589435,5827045.83349804,28800.0,-13.366666666666667
1071,797747.4085589435,5827045.83349804,28800.0,-14.156666666666666
1109,797947.4085589435,5827045.83349804,28800.0,-14.98
1147,798147.4085589435,5827045.83349804,28800.0,-15.826666666666668
1185,798347.4085589435,5827045.83349804,28800.0,-16.696666666666665
1223,798547.4085589435,5827045.83349804,28800.0,-17.583333333333332
1261,798747.4085589435,5827045.83349804,28800.0,-18.486666666666665
1299,798947.4085589435,5827045.83349804,28800.0,-19.403333333333336
1337,799147.4085589435,5827045.83349804,28800.0,-20.333333333333332
1375,799347.4085589435,5827045.83349804,28800.0,-21.27
1413,799547.4085589435,5827045.83349804,28800.0,-22.22
1451,799747.4085589435,5827045.83349804,28800.0,-23.176666666666666
1489,799947.4085589435,5827045.83349804,28800.0,-24.14
1527,800147.4085589435,5827045.83349804,28800.0,-25.10666666666667
1565,800347.4085589435,5827045.83349804,28800.0,-26.083333333333336
8,792147.4085589435,5827245.83349804,28800.0,-19.776666666666667
46,792347.4085589435,5827245.83349804,28800.0,-18.826666666666668
84,792547.4085589435,5827245.83349804,28800.0,-17.886666666666667
122,792747.4085589435,5827245.83349804,28800.0,-16.96
160,792947.4085589435,5827245.83349804,28800.0,-16.046666666666667
198,793147.4085589435,5827245.83349804,28800.0,-15.149999999999999
236,793347.4085589435,5827245.83349804,28800.0,-14.273333333333333
274,793547.4085589435,5827245.83349804,28800.0,-13.420000000000002
312,793747.4085589435,5827245.83349804,28800.0,-12.593333333333334
350,793947.4085589435,5827245.83349804,28800.0,-11.799999999999999
388,794147.4085589435,5827245.83349804,28800.0,-11.049999999999999
426,794347.4085589435,5827245.83349804,28800.0,-10.346666666666668
