personId,time,mode,age_base,sex_base,economic_status_base,income_base,restricted_mobility_base,homeX_base,homeY_base,access_base,age_policy,sex_policy,economic_status_policy,income_policy,restricted_mobility_policy,homeX_policy,homeY_policy,access_policy,delta,pct_change
berlin_db92f94a,28800,car,64,f,high,4600,FALSE,799479.1954086502,5819511.849855816,-8.085147990309975,64,f,high,4600,FALSE,799479.1954086502,5819511.849855816,-17.88238367795961,-9.797235687649634,121.17571254591246
berlin_5fb10b4c,28800,car,82,m,medium,2000,FALSE,790312.0758493561,5835033.727902838,-8.625186482826683,82,m,medium,2000,FALSE,790312.0758493561,5835033.727902838,-10.886662076587596,-2.2614755937609132,26.219439988499506
berlin_5e32ebfc,28800,car,75,m,high,3600,FALSE,801315.5174288685,5823278.000601834,-6.47496098061671,75,m,high,3600,FALSE,801315.5174288685,5823278.000601834,-21.720163623993507,-15.245202643376796,235.44856392207575
berlin_eba5bb50,28800,car,33,m,medium,1500,FALSE,792033.4215131112,5826336.803364235,-6.013094210663411,33,m,medium,1500,FALSE,792033.4215131112,5826336.803364235,-20.075444769594583,-14.062350558931172,233.86213596975566
berlin_a5f5f955,28800,car,24,m,low,900,FALSE,795419.1088784887,5823628.283436709,-7.379375376050507,24,m,low,900,FALSE,795419.1088784887,5823628.283436709,-26.8468258143032,-19.467450438252694,263.80891940303775
berlin_ea3de4e8,28800,car,94,m,medium,2000,TRUE,793456.0090837795,5821384.936963486,-7.130923576953787,94,m,medium,2000,TRUE,793456.0090837795,5821384.936963486,-18.36695842928178,-11.236034852327993,157.567736227624
bb_0202f810,28800,car,7,f,medium,3000,FALSE,787064.82,5814413.44,-12.31323658601689,7,f,medium,3000,FALSE,787064.82,5814413.44,-19.441175854217033,-7.127939268200143,57.88842940202046
berlin_b01f0c3b,28800,car,29,f,very_high,5600,FALSE,795680.7638643375,5835404.983375079,-5.376704566389579,29,f,very_high,5600,FALSE,795680.7638643375,5835404.983375079,-7.697688241203284,-2.3209836748137054,43.167402005355676
berlin_d5c08107,28800,car,6,m,high,5600,FALSE,800914.6965466805,5826120.307674541,-5.306989703767781,6,m,high,5600,FALSE,800914.6965466805,5826120.307674541,-26.51430919936906,-21.20731949560128,399.6110917747741
berlin_9961a952,28800,car,33,f,medium,1500,FALSE,801089.1439060553,5829614.734188642,-6.95492181065382,33,f,medium,1500,FALSE,801089.1439060553,5829614.734188642,-13.262852589673566,-6.307930779019745,90.69736440971934
berlin_7540b150,28800,car,45,f,medium,2000,FALSE,795188.6317237124,5833650.55693677,-5.590995944625655,45,f,medium,2000,FALSE,795188.6317237124,5833650.55693677,-7.544344441299286,-1.9533484966736303,34.93739784503486
berlin_1f194b0e,28800,car,82,m,medium,2000,FALSE,805761.8761397067,5834385.618932587,-11.8942156907701,82,m,medium,2000,FALSE,805761.8761397067,5834385.618932587,-15.442155868494583,-3.547940177724483,29.829122574914134
bb_887df377,28800,car,13,m,medium,3600,FALSE,808597.69,5843334.16,-13.502787520468896,13,m,medium,3600,FALSE,808597.69,5843334.16,-16.175527640299688,-2.6727401198307916,19.793987839764053
