personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
bb_0023f356,28800.0,car,3,m,medium,never,false,810983.74,5845798.16,-31.654341208207995,
bb_16186ef5,28800.0,car,45,m,high,always,false,817461.24,5799793.19,-43.180791231008406,
bb_00f68bb3,28800.0,car,10,m,high,never,false,778957.68,5820698.78,-16.482064402226033,
bb_0d7348cf,28800.0,car,55,m,high,always,false,796698.76,5851210.54,-28.12026673530775,
bb_06a2fe2f,28800.0,car,40,f,low,always,false,783142.32,5849020.68,-20.546336401938966,
bb_0e867113,28800.0,car,16,m,medium,never,false,788367.73,5804281.2,-80.05461709978913,
bb_0c3d9ee9,28800.0,car,61,f,medium,always,false,783689.98,5842046.66,-18.756199908277175,
bb_0b968952,28800.0,car,2,m,very_low,never,false,788745.99,5804529.9,-25.34124309723311,
bb_08cfe6b8,28800.0,car,74,m,high,always,false,808119.38,5842132.56,-31.246538613586814,
bb_1201ba4d,28800.0,car,3,m,very_high,never,false,813919.73,5844902.23,-29.778870386259396,
bb_10d34984,28800.0,car,39,f,medium,always,false,775975.72,5813498.68,-26.98502028237432,
bb_0dfceeff,28800.0,car,57,m,very_low,always,true,800051.26,5795041.74,-31.745308786844795,
bb_03957ebb,28800.0,car,63,m,very_low,always,true,785910.95,5812356.92,-32.39647530888944,
bb_148d56d3,28800.0,car,7,f,very_high,never,false,791563.06,5843250.45,-23.437944914215073,
bb_10bb6cd9,28800.0,car,60,m,low,always,false,791522.24,5812541.94,-28.08371753879553,
bb_0e3d5f0d,28800.0,car,49,m,medium,always,false,783835.93,5839484.07,-18.055289561064136,
bb_0682ac82,28800.0,car,55,f,medium,always,false,777333.24,5830404.02,-14.462346670745559,
bb_0b7b83c4,28800.0,car,42,f,medium,always,false,816157.17,5827136.53,-31.18237888730092,
bb_04ef30e2,28800.0,car,98,f,high,always,true,786246.73,5850963.04,-24.653448556015967,
bb_1281e1e9,28800.0,car,33,f,medium,always,false,806698.07,5843819.3,-27.842897852237037,
bb_071e1b79,28800.0,car,8,f,medium,never,false,777266.08,5812820.97,-23.271483142155017,
bb_14dc0437,28800.0,car,52,m,very_low,always,true,813165.86,5810498.63,-39.10110632649469,
bb_094af1ad,28800.0,car,44,m,medium,always,false,800594.54,5810414.8,-30.20150316882729,
bb_00ae33ec,28800.0,car,45,m,very_high,always,false,777085.25,5832007.55,-18.489958612139258,
bb_164756ad,28800.0,car,73,f,medium,always,true,789132.66,5848711.0,-24.25395454674047,
bb_014a8414,28800.0,car,11,m,medium,never,false,818659.67,5829458.81,-38.80976043888075,
bb_0c6b6534,28800.0,car,10,f,low,never,false,775747.78,5814449.43,-49.2296458962376,
bb_100b7d0d,28800.0,car,65,f,medium,always,false,787575.11,5857293.37,-26.052448488185497,
bb_09a1e6d4,28800.0,car,71,m,medium,always,false,731869.84,5812937.83,-28.3186972243004,
bb_0706ec74,28800.0,car,45,f,low,always,false,769862.02,5834334.78,-16.48489985531054,
bb_016ef8b4,28800.0,car,73,f,medium,always,false,814727.95,5807115.19,-30.491092317889027,
bb_00dcc567,28800.0,car,5,f,low,never,false,773679.06,5812095.16,-48.68401963129516,
bb_10944959,28800.0,car,87,f,medium,always,true,801507.29,5855623.87,-29.19390094134778,
bb_11a85043,28800.0,car,58,f,medium,always,false,819214.01,5864567.07,-29.91647243292067,
bb_0eeb9b8e,28800.0,car,17,m,medium,never,false,796904.89,5850348.1,-22.447597712749648,
bb_073afe95,28800.0,car,30,f,medium,always,false,779576.6,5793292.38,-28.545925320936174,
bb_0122bb55,28800.0,car,8,m,medium,never,false,809580.42,5799931.03,-45.74269732531178,
bb_0d86f259,28800.0,car,14,m,medium,never,false,775752.08,5830310.54,-17.999304663019632,
bb_147cea56,28800.0,car,37,m,low,always,false,822061.95,5829452.77,-41.42245437651964,
bb_0df4be58,28800.0,car,36,f,high,always,false,812938.77,5834802.67,-25.55235043497172,
bb_0e8d7773,28800.0,car,50,f,very_high,always,false,788599.96,5848905.86,-22.226604423816077,
bb_0d8a62ba,28800.0,car,73,f,low,always,false,816463.51,5798000.51,-46.07833812093262,
bb_08aa252a,28800.0,car,77,m,low,always,true,783516.2,5842040.13,-14.839843386307379,
bb_13f9cbf3,28800.0,car,37,f,high,always,false,820692.2,5806262.84,-44.90459986479834,
bb_14a15603,28800.0,car,35,m,very_low,always,false,760767.62,5808449.93,-23.700396144728366,
bb_0422544e,28800.0,car,27,f,medium,always,false,791775.35,5812496.55,-66.03401457480317,
bb_00d3f7b2,28800.0,car,80,m,medium,always,false,788252.54,5814952.0,-24.695483365775004,
bb_13674bff,28800.0,car,42,f,medium,always,false,766433.62,5816482.83,-17.728659034162188,
bb_0a1335b7,28800.0,car,43,m,high,always,false,815601.84,5803852.88,-42.112176184464474,
bb_01c74a75,28800.0,car,60,m,high,always,false,789164.84,5844145.56,-23.241853472781884,
bb_00cd4420,28800.0,car,71,f,medium,always,false,800144.4,5805944.43,-34.431685049141436,
bb_087ed5f8,28800.0,car,43,m,very_low,always,false,772621.92,5817297.77,-22.258188349030977,
bb_1560a478,28800.0,car,1,f,medium,never,false,774139.76,5812375.87,-26.031126312018415,
bb_0f8b5648,28800.0,car,61,m,very_low,always,true,788717.11,5844960.69,-23.28190523622044,
bb_167902de,28800.0,car,57,m,medium,always,true,780988.17,5811208.29,-26.165863976752483,
bb_0af245c0,28800.0,car,60,m,high,always,false,785634.84,5779144.82,-59.853272472772446,
bb_164ca876,28800.0,car,13,f,very_high,never,false,778625.01,5831030.07,-19.774503148342998,
bb_096744b9,28800.0,car,67,f,high,always,false,776656.12,5811814.77,-24.024426959600554,
bb_04aa6d0d,28800.0,car,24,m,medium,always,false,805639.64,5845147.76,-31.304331059747728,
bb_0032653a,28800.0,car,50,f,high,always,false,771256.58,5815706.43,-18.62495592845441,
bb_122b035a,28800.0,car,12,f,high,never,false,811263.28,5810722.18,-30.463746079170292,
bb_12332b97,28800.0,car,40,m,high,always,false,774995.25,5828755.72,-23.77348577557072,
bb_0f014ee8,28800.0,car,8,m,high,never,false,789277.47,5843464.28,-22.240197371647266,
bb_0b3174e4,28800.0,car,35,m,medium,always,false,754113.95,5804826.1,-24.010558736245372,
bb_16637676,28800.0,car,5,f,medium,never,false,783991.79,5805993.7,-32.75816788320001,
bb_148fde24,28800.0,car,10,m,medium,never,false,791895.65,5815225.22,-17.580895013119296,
bb_14e19252,28800.0,car,93,f,medium,always,false,814276.54,5808074.88,-90.95610665085383,
bb_0e377534,28800.0,car,55,f,medium,always,false,845553.05,5883680.0,-54.83676403648906,
bb_0ab6a8d9,28800.0,car,77,f,low,always,true,774940.09,5849597.85,-15.018233170402965,
bb_0062d33f,28800.0,car,60,m,low,always,false,814670.3,5810389.87,-40.28205680467162,
bb_011769b2,28800.0,car,54,f,very_low,always,false,776737.06,5832921.3,-18.53968047795476,
bb_169bfb54,28800.0,car,56,f,very_high,always,false,775377.68,5811436.08,-49.58071975531722,
bb_0a193e2a,28800.0,car,99,m,medium,always,true,815344.21,5809253.37,-40.698850978116795,
bb_038eb43d,28800.0,car,50,m,high,always,false,767975.48,5802382.52,-33.90991478815558,
bb_051b85ee,28800.0,car,9,m,low,never,false,786865.97,5815444.76,-17.5583739278886,
bb_051021d1,28800.0,car,58,m,very_low,always,true,770581.35,5828923.12,-17.099558642298874,
bb_0dab1387,28800.0,car,32,m,medium,always,false,786119.17,5814283.93,-16.775279375291934,
bb_11ba8fb3,28800.0,car,28,f,medium,always,false,805177.12,5839724.46,-30.255547140286218,
bb_0f6279d9,28800.0,car,53,m,medium,always,false,777843.31,5814955.47,-59.213586989469505,
bb_1416f2f2,28800.0,car,66,m,medium,always,false,777343.2,5811179.63,-24.632388380533293,
bb_12aba643,28800.0,car,48,m,very_low,always,false,734236.8,5821422.7,-24.619185170833003,
bb_113c6b47,28800.0,car,13,f,very_low,always,false,783480.6,5855278.96,-22.343016009431942,
bb_0da84a1b,28800.0,car,52,f,high,always,false,774901.65,5803500.38,-25.91908869585187,
bb_0167b889,28800.0,car,3,m,very_high,never,false,813957.2,5812845.04,-32.54006590105452,
bb_02434f4d,28800.0,car,19,f,medium,always,true,777515.94,5831452.83,-22.96223321290384,
bb_15234ce9,28800.0,car,49,f,very_high,always,false,761309.29,5796846.49,-25.32794125175609,
