person,timeCar,distCar,expSum
berlin_9f599908,4122.100000,62445.710000,3.93264538855812e-11
berlin_e997ca7d,4122.100000,62445.710000,5.16153895284174e-12
berlin_f13348e7,2550.175000,33217.650000,1.80433715109712e-14
berlin_72b7add3,3329.727000,43178.090000,1.15539891361142e-08
berlin_36c20e5b,3532.280000,44718.840000,2.69793161128244e-09
berlin_68c6338f,3532.280000,44718.840000,1.51114329001923e-10
berlin_6aadf85e,3532.280000,44718.840000,2.41233125457985e-12
bb_e5818d2d,1801.976000,29619.350000,8.38744085172753e-19
berlin_0fc5d9ae,3979.943000,61824.180000,2.81118739337394e-10
berlin_e7497545,3979.943000,61824.180000,1.11660681016396e-12
berlin_04dde457,2939.660000,40198.560000,8.28904403492115e-09
berlin_35e94396,4199.490000,63254.410000,3.86902002931778e-18
berlin_5e7ccb7c,4199.490000,63254.410000,5.47649749049424e-13
bb_2ec844cb,3436.674000,73971.880000,9.24359694201758e-12
bb_8bdeb282,1849.609000,27009.150000,8.85252537775426e-12
berlin_b671b4a9,3364.943000,52882.570000,4.90568293893521e-11
berlin_d9ffa43e,3364.943000,52882.570000,5.71831982723920e-09
berlin_020471f0,4087.937000,63929.290000,1.07241472342214e-13
berlin_50f80b6a,4087.937000,63929.290000,4.47350284771712e-25
berlin_965bc44e,4087.937000,63929.290000,1.47596393673498e-10
berlin_c1a257ba,4087.937000,63929.290000,2.94925435622569e-11
berlin_db5f2940,4087.937000,63929.290000,1.60542985202007e-15
berlin_1410ddc4,2688.926000,51129.280000,1.44293821767181e-10
berlin_1ad62813,2688.926000,51129.280000,1.32153745792029e-19
berlin_3c8fe25c,2688.926000,51129.280000,3.72280237354849e-09
berlin_9c788fcd,2688.926000,51129.280000,1.26498287922496e-30
berlin_f5fd8f07,4949.251000,55751.280000,5.40949244922727e-36
berlin_091f2e55,3350.727000,43314.230000,3.46116944385226e-10
berlin_0c5826af,3350.727000,43314.230000,5.47067989087542e-09
berlin_48efba55,3350.727000,43314.230000,6.07464588633508e-09
berlin_4ac586e3,3350.727000,43314.230000,3.04777151020677e-10
berlin_960e13a3,3350.727000,43314.230000,1.36905984009290e-08
berlin_b70ca9a5,3350.727000,43314.230000,1.30975391325476e-08
berlin_dd94de38,3350.727000,43314.230000,1.20793062793984e-09
berlin_eafadd4a,3350.727000,43314.230000,3.45543749602190e-10
bb_772e7a26,4792.253000,78013.080000,9.63080863115802e-30
berlin_60e17d0c,2074.348000,32588.420000,4.24267389067956e-10
bb_a8657967,2009.640000,29424.070000,1.47998335763384e-07
berlin_727c380f,4100.931000,58958.590000,1.00140186759980e-11
berlin_1dd92996,4041.615000,56490.420000,3.12816761308441e-10
berlin_9c694131,4041.615000,56490.420000,6.54539051687574e-17
bb_95546a0d,1798.155000,22063.220000,2.00555371336349e-05
berlin_bccc0ee7,4041.615000,56490.420000,1.46916565283201e-14
berlin_31da7e9a,2417.663000,36206.970000,6.49387316605275e-23
berlin_15998b6c,2571.960000,33387.290000,5.65685313428517e-07
bb_4a0478fb,2439.563000,43987.200000,1.14453933080363e-07
bb_102882fa,2410.252000,34481.290000,1.28481310408224e-07
bb_269d0e5f,2410.252000,34481.290000,3.86167128700459e-07
bb_45f6e64a,2410.252000,34481.290000,6.83073288802581e-11
bb_3c641e88,4818.379000,79650.910000,3.30682980158241e-15
bb_bb345c36,4818.379000,79650.910000,2.93447589568655e-16
berlin_5c017d31,3433.407000,43927.090000,6.42332788944876e-14
berlin_c867891a,3433.407000,43927.090000,1.26613485422752e-18
berlin_3910a4e1,4516.257000,51577.620000,1.25002472555298e-12
berlin_75c3f5e8,4516.257000,51577.620000,1.23157480220917e-10
berlin_8481430f,4516.257000,51577.620000,1.11507823846540e-16
berlin_9b8697d8,4516.257000,51577.620000,3.61461021040239e-13
berlin_f2c2c2bc,4516.257000,51577.620000,4.65876983741815e-11
berlin_fe27a4ad,4516.257000,51577.620000,1.27867784147885e-10
berlin_0119c3f6,4787.048000,52455.210000,7.18294209636538e-23
bb_cf42cd6c,4848.328000,71253.960000,1.27901226213021e-13
bb_2f901258,1958.329000,28144.740000,5.92600972368061e-07
berlin_06cf22eb,2567.695000,47287.090000,1.00565781853412e-08
berlin_861620f5,1771.915000,30373.900000,2.40267926781286e-09
bb_fc2f3f37,1958.329000,28144.740000,1.02571908147467e-06
berlin_b3b60f33,1771.915000,30373.900000,6.71560907103827e-07
berlin_df70c0ff,2567.695000,47287.090000,2.43430864100047e-09
berlin_f0818f49,1771.915000,30373.900000,2.42904677937325e-09
berlin_fb9efb68,1771.915000,30373.900000,7.58281464203170e-07
berlin_1e98bab8,2621.779000,37195.680000,3.06866297087325e-07
berlin_9a586057,2621.779000,37195.680000,3.85604173623646e-08
berlin_34b2e0ab,3730.584000,54958.540000,2.13582706922577e-12
berlin_39f2da5d,3730.584000,54958.540000,1.13060244322251e-09
berlin_6f77e249,3730.584000,54958.540000,4.41663096717705e-16
berlin_750e5b7f,3730.584000,54958.540000,1.16216261661638e-09
berlin_9875046b,3730.584000,54958.540000,6.93922948543018e-14
berlin_b800e706,3730.584000,54958.540000,4.61552164634177e-16
berlin_2d5b096d,2394.333000,35806.260000,3.29587712402877e-07
berlin_ae9b3c2a,2394.333000,35806.260000,2.28646708131869e-07
berlin_3a6419a5,2941.631000,53030.300000,1.68671930231545e-12
berlin_8c2c626d,2941.631000,53030.300000,2.18028314270139e-08
berlin_8e8197a3,2941.631000,53030.300000,1.15298764413125e-09
berlin_cd75b70f,2941.631000,53030.300000,2.17289877046219e-08
berlin_8ff7109e,2932.653000,40303.310000,1.36142263519881e-25
berlin_e1055fd6,2932.653000,40303.310000,2.41410438511828e-09
berlin_5d0ed1ad,3625.771000,56874.050000,1.55984699200160e-09
berlin_a255ad86,3625.771000,56874.050000,4.48301395960911e-10
berlin_f5392ea9,3625.771000,56874.050000,1.25522341944721e-34
berlin_47db03ae,4552.073000,51918.910000,8.41725027738707e-17
berlin_5eb4cce3,4552.073000,51918.910000,1.02393747666092e-14
berlin_ff9e400e,4719.166000,51720.790000,4.90024406667950e-17
bb_7b4f8b36,4026.238000,80107.460000,3.69798634320454e-11
bb_05f2c840,2460.403000,45054.470000,7.01267068701247e-11
