person,timeCar_base,distCar_base,expSum_base,timeCar_policy,distCar_policy,expSum_policy,delta_timeCar,delta_pct_timeCar,delta_distCar,delta_pct_distCar,delta_expSum,delta_pct_expSum
berlin_396c1fc3,1885.009,14974.71,5.84787177602519e-5,3440.454,31745.82,2.09736789908425e-9,1555.4450000000002,82.51658214894466,16771.11,111.99622563642302,-5.847662039235281e-5,-99.99641345094521
berlin_5114af61,1343.982,10901.93,6.74028251042839e-5,3338.116,31468.13,3.5906205024938698e-12,1994.134,148.37505264207408,20566.2,188.64733125235622,-6.74028215136634e-5,-99.99999467289317
berlin_a2f495b5,1885.009,14974.71,6.65178433830401e-5,3440.454,31745.82,2.3856950831218302e-9,1555.4450000000002,82.51658214894466,16771.11,111.99622563642302,-6.651545768795697e-5,-99.99641345094521
berlin_758fcbef,1343.982,10901.93,2.0822754283604e-4,3338.116,31468.13,7.507200193317329e-11,1994.134,148.37505264207408,20566.2,188.64733125235622,-2.0822746776403804e-4,-99.99996394713163
berlin_8fc6814d,1343.982,10901.93,3.4802897171201e-4,3338.116,31468.13,4.71499295386613e-10,1994.134,148.37505264207408,20566.2,188.64733125235622,-3.4802850021271463e-4,-99.99986452297546
berlin_23b6401c,574.273,4371.48,0.00330189264358967,2729.403,22698.92,1.24738140502949e-14,2155.1299999999997,375.2797014660274,18327.44,419.25023104303347,-0.003301892643577196,-99.99999999962222
berlin_1ec846e0,978.931,7546.44,8.518437368161e-4,2347.32,16314.23,2.94005442354765e-8,1368.3890000000001,139.78400929176829,8767.79,116.1844525365603,-8.518143362718645e-4,-99.99654859888442
berlin_3b7a4850,574.273,4371.48,0.00926374753732018,2729.403,22698.92,3.2622143665628197e-12,2155.1299999999997,375.2797014660274,18327.44,419.25023104303347,-0.009263747534057966,-99.99999996478515
berlin_6079f490,574.273,4371.48,0.0103590367042069,2729.403,22698.92,4.1399137088996394e-12,2155.1299999999997,375.2797014660274,18327.44,419.25023104303347,-0.010359036700066986,-99.99999996003572
berlin_729856f0,574.273,4371.48,0.0241908641530222,2729.403,22698.92,6.36240871482945e-10,2155.1299999999997,375.2797014660274,18327.44,419.25023104303347,-0.024190863516781326,-99.99999736991258
