person,age,sex,income_bin,homeX,homeY,district_ord,base_timeCar,base_distCar,base_car_acc,policy_timeCar,policy_distCar,policy_car_acc,delta_timeCar,delta_pct_timeCar,delta_distCar,delta_pct_distCar,delta_car_acc,delta_pct_car_acc
berlin_afe1282a,66,m,3000,795896.5419250646,5832751.810862264,Reinickendorf,671.082,5072.9,-4.2178591325835635,592.879,4094.62,-6.22731445488815,-78.20299999999997,-11.653270390205664,-978.2799999999997,-19.284432967336233,-2.0094553223045866,-47.64159397314286
berlin_cb6aedbb,25,m,2000,795823.363364615,5832756.124145645,Reinickendorf,671.082,5072.9,-4.732461954119258,592.879,4094.62,-6.650959995310651,-78.20299999999997,-11.653270390205664,-978.2799999999997,-19.284432967336233,-1.918498041191393,-40.53911177292154
berlin_1acc8ffa,29,m,5600,799100.5597009399,5813002.342810004,Tempelhof-Schöneberg,2484.573,19778.62,-11.284279182979267,3560.142,33408.21,-18.679307293496276,1075.569,43.289893273411565,13629.59,68.91072279056881,-7.395028110517009,-65.53389889246411
berlin_a00bd0d1,23,f,4600,799119.8905051721,5812939.48790779,Tempelhof-Schöneberg,2484.573,19778.62,-11.681466775155403,3560.142,33408.21,-19.371658268133146,1075.569,43.289893273411565,13629.59,68.91072279056881,-7.690191492977743,-65.83241335183644
berlin_bbab7a4c,12,m,3600,799137.2330698618,5813011.490443731,Tempelhof-Schöneberg,2484.573,19778.62,-12.421933146034544,3560.142,33408.21,-20.571267678395664,1075.569,43.289893273411565,13629.59,68.91072279056881,-8.14933453236112,-65.60439857915861
berlin_c6bf1061,22,f,3000,799183.5706486657,5812899.155055648,Tempelhof-Schöneberg,2484.573,19778.62,-12.97597298298217,3560.142,33408.21,-21.54771911157599,1075.569,43.289893273411565,13629.59,68.91072279056881,-8.57174612859382,-66.058600305623
berlin_e8e0ef7f,16,m,5600,799086.5252686713,5812969.536378028,Tempelhof-Schöneberg,2484.573,19778.62,-11.364245372147867,3560.142,33408.21,-18.759273482664874,1075.569,43.289893273411565,13629.59,68.91072279056881,-7.395028110517007,-65.07275994445843
berlin_c0ff5184,90,m,1500,790755.707784086,5836123.432722673,Reinickendorf,1279.625,11756.34,-9.613675228806947,1252.47,10629.35,-11.556069707352924,-27.154999999999973,-2.1221060857673124,-1126.9899999999998,-9.586231769411226,-1.9423944785459764,-20.204494455207705
berlin_06b35aa4,20,f,500,799744.8432687429,5832795.358083695,Pankow,1110.377,8072.04,-13.687661020893335,1108.911,6687.21,-14.589737228718413,-1.4659999999998945,-0.13202723039110992,-1384.83,-17.15588624436945,-0.9020762078250772,-6.590433576986717
bb_3aa39251,83,f,2000,788967.92,5854697.78,NA,2732.231,36299.98,-20.43674758256329,2689.864,36588.86,-22.828148158754356,-42.36700000000019,-1.5506375559021248,288.8799999999974,0.795813110640825,-2.3914005761910673,-11.70147337060335
