personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
berlin_71541982,28800.0,car,60,f,medium,1500.0,false,802292.0930632062,5831903.39682268,-9.079804095624036,
berlin_5647da4d,28800.0,car,57,m,medium,3000.0,false,802651.663898414,5832313.065709048,-7.913121135436616,
berlin_3949a3a7,28800.0,car,4,m,medium,3600.0,true,804522.379176036,5830851.794821648,-8.50094255896823,
berlin_95ffbd25,28800.0,car,64,m,very_high,5600.0,false,793724.0550909939,5825260.934319339,-3.6120282654391334,
berlin_5fd8dc24,28800.0,car,88,m,medium,2000.0,true,803394.195570074,5828866.864540019,-8.269582925601556,
berlin_61c5c00f,28800.0,car,1,m,high,3600.0,false,801375.7022884007,5838031.059777002,-9.131389823242696,
berlin_c4448ffc,28800.0,car,85,m,high,3600.0,false,788691.2565373145,5816950.901708444,-9.967648172133673,
berlin_89a08a3f,28800.0,car,30,f,medium,2600.0,false,806788.096865297,5825986.900163599,-10.297070634714748,
berlin_f7e3cec5,28800.0,car,49,f,very_low,500.0,false,796796.9452598388,5830608.814038417,-5.910471361372977,
berlin_3e106aaa,28800.0,car,43,f,low,900.0,false,794009.7917731677,5829002.821951157,-4.778818028520881,
bb_f2200aee,28800.0,car,53,m,low,900.0,false,785611.36,5852452.84,-30.836607644690098,
berlin_417ba1bb,28800.0,car,52,m,medium,1500.0,false,805709.324629857,5830534.767879928,-11.538967548413698,
berlin_1e38f02e,28800.0,car,69,m,high,2600.0,false,790456.6178779063,5826347.910803154,-5.475861443447938,
berlin_0a78967b,28800.0,car,36,f,medium,2000.0,false,795523.2680629654,5833096.518384181,-4.9080090771509575,
berlin_c5a48ee3,28800.0,car,5,m,medium,3600.0,false,795588.1652616286,5823950.601544341,-4.5888710460066084,
berlin_1cd0115a,28800.0,car,52,f,low,1500.0,true,795923.2754037902,5815932.405574468,-12.851308540887409,
berlin_75980acf,28800.0,car,48,m,high,4600.0,false,795465.5011109321,5824503.873775041,-3.7515896034663223,
berlin_86c1099f,28800.0,car,26,f,low,900.0,false,808988.0755862808,5831760.417494059,-17.99317133773702,
berlin_45f029b4,28800.0,car,15,m,low,3000.0,false,802145.6166875339,5831196.770444794,-6.792429786038176,
berlin_535eb55a,28800.0,car,40,f,medium,3000.0,false,802169.0303276118,5826437.725714973,-6.875837729407513,
bb_2652270b,28800.0,car,53,f,medium,3000.0,false,779316.87,5813359.78,-15.733064041762795,
berlin_b6bfacb0,28800.0,car,85,m,medium,2000.0,true,795809.8029057711,5816825.428292625,-11.050113570215139,
bb_20bcb9ff,28800.0,car,1,f,high,4600.0,false,790758.57,5855855.91,-15.412671349247024,
berlin_49ca73ba,28800.0,car,46,f,high,3600.0,false,796980.9357968546,5823571.522622251,-4.635496983029702,
berlin_19f6af0d,28800.0,car,77,m,medium,2000.0,false,814622.3021575089,5821555.8971016705,-18.607527073800536,
bb_619dd983,28800.0,car,44,m,very_high,5600.0,false,778434.18,5809496.98,-12.997044758735216,
berlin_5e51d890,28800.0,car,46,m,medium,3000.0,false,800475.2514319756,5829191.728173979,-5.379244606159223,
berlin_d19ed083,28800.0,car,54,f,medium,1500.0,false,805590.3110671414,5831475.177749243,-12.504061417288726,
berlin_1ac419eb,28800.0,car,50,f,very_high,5600.0,false,800621.3241266098,5813409.512696474,-10.765560740810422,
berlin_214454c5,28800.0,car,5,m,high,4600.0,false,783180.3687995436,5827424.891025257,-9.143059459284071,
berlin_ef1eac3c,28800.0,car,68,m,medium,2000.0,false,793293.1722858967,5819688.069865148,-8.261568908862026,
berlin_9a2737ae,28800.0,car,64,f,medium,3000.0,false,811284.089814804,5822968.691401993,-13.92973202589014,
berlin_fddc4f25,28800.0,car,48,m,medium,2000.0,false,793324.8343122283,5836005.27406308,-7.725016687956301,
berlin_4369b0f9,28800.0,car,52,m,high,2600.0,false,800263.8607739308,5830866.407875861,-6.0465614946485395,
berlin_b3579c10,28800.0,car,17,m,high,5600.0,false,787532.8621665011,5830032.555569369,-5.848787246240122,
berlin_c5e13e64,28800.0,car,1,m,medium,3600.0,false,799825.2097149673,5835296.755543035,-6.860481177088709,
bb_b1cd2627,28800.0,car,72,m,low,900.0,true,776706.08,5831625.13,-24.609112465394414,
berlin_9e65f46a,28800.0,car,77,m,high,4600.0,false,786052.7771300517,5830525.397102796,-7.723665496616926,
bb_85b9653d,28800.0,car,57,f,high,3000.0,false,823397.83,5803510.48,-24.068839083870927,
berlin_3018149f,28800.0,car,38,m,medium,3600.0,false,810137.4893578838,5832394.7864521975,-11.06506609601128,
berlin_c46e889d,28800.0,car,13,m,medium,2600.0,false,793680.427403928,5822212.701768848,-6.2233161664582495,
berlin_bfe9c2d2,28800.0,car,19,f,high,3600.0,false,807239.1914997264,5824477.427955715,-10.356148293393948,
berlin_7ba9ce7c,28800.0,car,52,m,low,900.0,false,808640.8575118291,5832487.885282646,-17.995740950045356,
bb_5c7f5761,28800.0,car,74,m,medium,2600.0,false,808345.42,5842140.19,-14.59244789527442,
bb_bf9019d1,28800.0,car,46,m,very_high,5600.0,false,776267.72,5813774.17,-13.252472061971218,
berlin_48d38f5d,28800.0,car,57,m,medium,3000.0,false,794788.6724749382,5817374.620407119,-9.272625279643927,
