personId,sex,age_group,economic_status,restricted_mobility,income,income_bin,bezirk,access_base,access_policy,delta,changed
berlin_98f4853a,f,30–44,very_high,No restriction,5600,5600,10,-2.8297028106119986,-26.15300557214124,-23.32330276152924,TRUE
berlin_696bee3b,f,45–59,medium,No restriction,2600,2600,9,-12.76422308283691,-20.050979692114367,-7.286756609277457,TRUE
berlin_4d993ddc,f,15–29,medium,No restriction,2000,2000,2,-5.434155682500487,-28.207821235266504,-22.77366555276602,TRUE
bb_260d832b,f,15–29,low,No restriction,2000,2000,NA,-22.31301152218394,-27.908251824130154,-5.595240301946216,TRUE
bb_2587a584,f,30–44,low,No restriction,1500,1500,NA,-53.42803999464702,-58.916000509055486,-5.4879605144084636,TRUE
bb_61626df5,m,60+,medium,No restriction,1500,1500,NA,-56.6515187064041,-58.327108439095646,-1.6755897326915488,TRUE
berlin_4b9c4faa,f,45–59,high,No restriction,3000,3000,3,-15.666213832440771,-25.133258914498718,-9.467045082057947,TRUE
bb_fbef4bda,f,45–59,medium,No restriction,2000,2000,NA,-23.8565475364354,-32.315143136508254,-8.458595600072854,TRUE
bb_da5cfc13,m,30–44,low,No restriction,3600,3600,NA,-27.693741993067036,-29.498609156307573,-1.8048671632405373,TRUE
bb_b9d29539,f,30–44,high,No restriction,4600,4600,NA,-12.86837961733752,-19.05492127382665,-6.18654165648913,TRUE
berlin_13aeade1,m,60+,medium,No restriction,2600,2600,12,-11.575273312250204,-22.38374858309581,-10.808475270845605,TRUE
berlin_7d57008f,f,30–44,low,No restriction,900,900,5,-15.883028530447135,-34.11863570113257,-18.235607170685434,TRUE
bb_0a75352e,f,45–59,high,No restriction,3600,3600,NA,-14.068486320376463,-20.58701791352064,-6.518531593144177,TRUE
berlin_84b5e614,m,45–59,high,No restriction,4600,4600,2,-5.042073471953353,-10.835073557563186,-5.793000085609833,TRUE
berlin_8a01a2af,f,15–29,medium,No restriction,2600,2600,12,-11.453303724375115,-22.21035615619127,-10.757052431816156,TRUE
bb_55beceef,f,30–44,very_high,No restriction,5600,5600,NA,-11.385928559872506,-18.1271687824285,-6.741240222555996,TRUE
berlin_7a1a6393,f,30–44,very_low,No restriction,900,900,7,-21.37299148020123,-30.288168198545264,-8.915176718344036,TRUE
berlin_23276d9f,m,<15,medium,No restriction,4600,4600,4,-5.874957424578951,-9.88295136520811,-4.0079939406291585,TRUE
berlin_18f52edb,m,60+,high,No restriction,4600,4600,5,-5.7491327491563355,-21.64334168351052,-15.894208934354186,TRUE
berlin_10cdde87,f,60+,low,No restriction,900,900,2,-6.019232540133689,-26.23514626705313,-20.21591372691944,TRUE
berlin_09d8957a,m,<15,medium,No restriction,3000,3000,7,-13.382986348164067,-20.225393223387815,-6.842406875223748,TRUE
berlin_fef12d3a,m,60+,low,Restricted mobility,1500,1500,4,-8.59044050091047,-11.25614013500438,-2.66569963409391,TRUE
bb_8e015c08,m,15–29,medium,No restriction,2600,2600,NA,-20.392006844741932,-24.555799576974827,-4.163792732232896,TRUE
berlin_71b07f36,f,15–29,low,No restriction,1500,1500,2,-5.35200910161733,-20.35074170117209,-14.99873259955476,TRUE
berlin_bd3544b6,m,60+,very_low,Restricted mobility,900,900,2,-6.86830827849242,-21.808700180307117,-14.940391901814696,TRUE
bb_d3c4130e,f,15–29,very_low,No restriction,500,500,NA,-59.08876304449309,-65.65547625860857,-6.566713214115481,TRUE
berlin_7b94d6bd,f,45–59,high,No restriction,3000,3000,1,-7.359765128135697,-9.026974060289291,-1.667208932153594,TRUE
bb_29563ab6,f,45–59,high,No restriction,4600,4600,NA,-12.012712654267965,-15.671301282654545,-3.65858862838658,TRUE
bb_bf0b4d2f,f,15–29,high,No restriction,4600,4600,NA,-11.654519200454287,-18.504147523610094,-6.849628323155807,TRUE
berlin_ac526e2a,f,30–44,high,No restriction,2600,2600,4,-5.771945271795976,-13.779862612069948,-8.007917340273973,TRUE
bb_a92ecee1,f,45–59,very_low,Restricted mobility,500,500,NA,-48.709558257333065,-69.92898473108828,-21.219426473755213,TRUE
berlin_970dfc22,f,45–59,low,No restriction,900,900,9,-16.15850231247643,-31.13405027975816,-14.97554796728173,TRUE
berlin_4b4cf1eb,m,60+,low,No restriction,900,900,1,-17.634072266635098,-19.971836617686225,-2.3377643510511277,TRUE
bb_571b40dc,m,60+,medium,No restriction,2000,2000,NA,-20.744027035226264,-26.10944019577484,-5.365413160548577,TRUE
berlin_ee3290e3,f,30–44,high,No restriction,4600,4600,4,-4.434385481364307,-10.285476254780956,-5.851090773416649,TRUE
berlin_7fbb6363,m,45–59,medium,No restriction,2000,2000,7,-15.977669069752507,-21.26271338890582,-5.285044319153313,TRUE
bb_23865ff4,f,30–44,medium,No restriction,3600,3600,NA,-17.746228774000638,-25.773196004581635,-8.026967230580997,TRUE
berlin_8dfbe0de,m,60+,high,Restricted mobility,3000,3000,6,-9.753217103127954,-12.730536981590475,-2.977319878462522,TRUE
berlin_4c2ac80e,f,45–59,medium,Restricted mobility,3000,3000,9,-6.785001916556275,-17.250548213857247,-10.465546297300971,TRUE
bb_fdc1553f,f,15–29,low,No restriction,3000,3000,NA,-15.067242828010619,-17.63197711045196,-2.564734282441341,TRUE
berlin_4dd443fa,f,45–59,high,No restriction,3600,3600,12,-9.865369293955347,-20.137732866158203,-10.272363572202856,TRUE
berlin_760d57bb,f,15–29,high,No restriction,2600,2600,12,-3.9637630383829405,-22.854777205933622,-18.891014167550683,TRUE
berlin_7829f0e4,m,<15,low,No restriction,2000,2000,1,-5.6685797493454535,-7.057067212782412,-1.3884874634369586,TRUE
berlin_4c9d8d38,m,15–29,low,No restriction,3600,3600,5,-7.788772654332527,-17.872733501978292,-10.083960847645766,TRUE
berlin_d302f4f7,m,60+,medium,No restriction,2600,2600,10,-4.558396651147475,-6.379803160403566,-1.8214065092560912,TRUE
berlin_1ae9f834,f,15–29,very_high,No restriction,5600,5600,4,-3.720005429961237,-8.075943007884685,-4.355937577923449,TRUE
berlin_598b3234,f,15–29,very_low,No restriction,500,500,11,-10.323228841359533,-56.88869637233753,-46.565467530978,TRUE
berlin_a1564d67,f,30–44,medium,No restriction,2000,2000,6,-9.233012518462257,-15.62683668427143,-6.393824165809173,TRUE
berlin_b89c77b5,m,60+,medium,No restriction,1500,1500,6,-12.305164248598535,-15.260774120992668,-2.955609872394133,TRUE
berlin_6b76bc89,f,60+,high,Restricted mobility,3000,3000,2,-4.327308266334707,-17.751342402375872,-13.424034136041165,TRUE
berlin_e5612065,f,45–59,medium,No restriction,2000,2000,12,-3.7580999053998667,-26.39426439728328,-22.636164491883413,TRUE
bb_86a5a1c4,f,60+,medium,No restriction,1500,1500,NA,-19.994853283763323,-26.04517902305981,-6.050325739296486,TRUE
berlin_3865dc1f,m,45–59,high,No restriction,3600,3600,12,-3.3916142949212627,-21.245100551848004,-17.853486256926743,TRUE
berlin_eb0ac4c8,m,60+,high,No restriction,3600,3600,5,-10.86593115699212,-20.105669444975412,-9.239738287983291,TRUE
berlin_7bb342d0,f,30–44,very_low,No restriction,1500,1500,3,-16.941244097128077,-24.56033307222867,-7.619088975100592,TRUE
bb_4746659c,m,60+,medium,No restriction,2000,2000,NA,-27.076093560159578,-31.543353720140342,-4.467260159980764,TRUE
bb_02d54031,m,60+,medium,Restricted mobility,1500,1500,NA,-23.362740321391314,-30.41968467371655,-7.056944352325235,TRUE
bb_75b125f9,f,30–44,high,No restriction,4600,4600,NA,-15.11200062150882,-20.135472089747125,-5.023471468238306,TRUE
bb_f5fb5dfe,f,15–29,high,No restriction,4600,4600,NA,-12.66946223802909,-15.7639082723828,-3.094446034353709,TRUE
berlin_93ea7d36,m,15–29,medium,No restriction,3000,3000,2,-5.961793201122038,-16.01135023800908,-10.049557036887041,TRUE
berlin_45645723,f,45–59,medium,No restriction,1500,1500,3,-13.62664647279901,-23.50433378661712,-9.877687313818111,TRUE
berlin_d2e0d91c,f,45–59,very_low,No restriction,2000,2000,3,-16.480695715590183,-27.34562015229111,-10.864924436700928,TRUE
berlin_a33f93d2,m,60+,low,No restriction,1500,1500,12,-11.203337397897878,-25.323397300881766,-14.120059902983888,TRUE
berlin_d0cffeae,m,<15,high,No restriction,4600,4600,7,-10.968932871840872,-15.209496976618405,-4.240564104777533,TRUE
berlin_3e26456f,f,45–59,high,No restriction,3600,3600,12,-12.540775113003674,-20.621259053730174,-8.0804839407265,TRUE
berlin_bee037c1,f,30–44,medium,No restriction,2000,2000,4,-6.016010589529358,-8.819342377806091,-2.803331788276733,TRUE
berlin_ce7bf719,f,45–59,high,No restriction,4600,4600,4,-5.231921606701992,-6.860834556790223,-1.6289129500882318,TRUE
berlin_2f85fef4,m,30–44,very_low,No restriction,500,500,12,-16.070278617671555,-43.02386285812629,-26.953584240454738,TRUE
berlin_02957285,m,60+,medium,No restriction,3000,3000,9,-9.22366655963891,-18.543964101421192,-9.320297541782283,TRUE
berlin_29d18e18,f,45–59,low,No restriction,900,900,10,-4.507129405538137,-45.87819560999858,-41.37106620446044,TRUE
berlin_6338cd3a,m,60+,high,No restriction,2600,2600,12,-13.741008495832585,-23.34414563734602,-9.603137141513436,TRUE
berlin_1dbeaf7a,m,60+,medium,Restricted mobility,2000,2000,3,-16.954581244129358,-26.151519208714387,-9.196937964585029,TRUE
berlin_d84f145b,f,45–59,medium,No restriction,3600,3600,2,-5.42239131320514,-15.3405247743045,-9.918133461099359,TRUE
berlin_ce9368b9,f,15–29,very_low,No restriction,900,900,4,-9.111140338632916,-10.59083605634502,-1.4796957177121044,TRUE
berlin_243ed8f2,m,60+,high,Restricted mobility,3600,3600,4,-6.546941534492949,-12.394532960513317,-5.847591426020368,TRUE
berlin_bfb66e66,f,45–59,medium,No restriction,3000,3000,1,-7.06528473505513,-8.975826846182295,-1.9105421111271657,TRUE
berlin_a9c00246,f,30–44,high,No restriction,4600,4600,10,-4.354398568672098,-6.332739994347407,-1.9783414256753096,TRUE
berlin_99b74eb2,m,45–59,medium,No restriction,2600,2600,10,-3.4129721475776136,-5.399269280478973,-1.9862971329013592,TRUE
berlin_c2b6a7b5,f,60+,medium,No restriction,1500,1500,7,-14.099879540815303,-19.39231403300829,-5.292434492192987,TRUE
berlin_0a15fa2d,m,60+,high,No restriction,3600,3600,5,-8.95488262128843,-19.337056238102175,-10.382173616813745,TRUE
